colour	x	y	showSelected1	fill
#F8766D	10	52.9	Biology	#F8766D
#F8766D	2	41.8	Biology	#F8766D
#F8766D	11	69.5	Biology	#F8766D
#F8766D	12	67.5	Biology	#F8766D
#F8766D	7	51.2	Biology	#F8766D
#F8766D	4	32.5	Biology	#F8766D
#F8766D	14	62.5	Biology	#F8766D
#F8766D	2	56.2	Biology	#F8766D
#F8766D	15	69.2	Biology	#F8766D
#F8766D	3	43	Biology	#F8766D
#F8766D	8	47.3	Biology	#F8766D
#F8766D	13	70.1	Biology	#F8766D
#F8766D	16	72.6	Biology	#F8766D
#F8766D	16	73.1	Biology	#F8766D
#F8766D	10	59.5	Biology	#F8766D
#F8766D	10	66.1	Biology	#F8766D
#F8766D	7	47.8	Biology	#F8766D
#F8766D	7	60.4	Biology	#F8766D
#F8766D	11	71.1	Biology	#F8766D
#F8766D	2	40.2	Biology	#F8766D
#F8766D	13	64	Biology	#F8766D
#F8766D	9	54.3	Biology	#F8766D
#F8766D	5	62.1	Biology	#F8766D
#F8766D	5	55.8	Biology	#F8766D
#F8766D	17	72.2	Biology	#F8766D
#F8766D	13	56.9	Biology	#F8766D
#F8766D	6	66.3	Biology	#F8766D
#F8766D	12	65.1	Biology	#F8766D
#F8766D	5	54.5	Biology	#F8766D
#F8766D	11	56.7	Biology	#F8766D
#F8766D	11	61.7	Biology	#F8766D
#F8766D	12	54.4	Biology	#F8766D
#F8766D	12	67.4	Biology	#F8766D
#F8766D	9	73.8	Biology	#F8766D
#F8766D	19	87.4	Biology	#F8766D
#F8766D	5	45.5	Biology	#F8766D
#F8766D	15	72.8	Biology	#F8766D
#F8766D	8	62.5	Biology	#F8766D
#F8766D	13	70	Biology	#F8766D
#F8766D	12	62.8	Biology	#F8766D
#F8766D	19	82.2	Biology	#F8766D
#00BA38	18	82.5	English	#00BA38
#00BA38	14	69.5	English	#00BA38
#00BA38	11	68.1	English	#00BA38
#00BA38	7	60.5	English	#00BA38
#00BA38	14	76.9	English	#00BA38
#00BA38	9	69.1	English	#00BA38
#00BA38	11	70.1	English	#00BA38
#00BA38	9	61.9	English	#00BA38
#00BA38	6	54.5	English	#00BA38
#00BA38	9	47	English	#00BA38
#00BA38	5	46.1	English	#00BA38
#00BA38	13	67	English	#00BA38
#00BA38	13	75	English	#00BA38
#00BA38	13	63.1	English	#00BA38
#00BA38	3	38.1	English	#00BA38
#00BA38	10	65.6	English	#00BA38
#00BA38	3	52.4	English	#00BA38
#00BA38	17	72.2	English	#00BA38
#00BA38	8	50.6	English	#00BA38
#00BA38	5	48.5	English	#00BA38
#00BA38	19	79.9	English	#00BA38
#00BA38	13	66.3	English	#00BA38
#00BA38	17	67.7	English	#00BA38
#00BA38	7	57.8	English	#00BA38
#00BA38	14	70.8	English	#00BA38
#00BA38	5	48.7	English	#00BA38
#00BA38	8	59.7	English	#00BA38
#00BA38	6	62.9	English	#00BA38
#00BA38	2	38.8	English	#00BA38
#00BA38	11	62.3	English	#00BA38
#00BA38	7	52.9	English	#00BA38
#00BA38	10	61.9	English	#00BA38
#00BA38	17	65.8	English	#00BA38
#00BA38	9	77.2	English	#00BA38
#00BA38	12	62.1	English	#00BA38
#00BA38	9	65.9	English	#00BA38
#00BA38	13	63.5	English	#00BA38
#00BA38	12	59.4	English	#00BA38
#00BA38	6	63.8	English	#00BA38
#00BA38	21	80.9	English	#00BA38
#00BA38	8	51.8	English	#00BA38
#00BA38	11	68	English	#00BA38
#00BA38	19	77.2	English	#00BA38
#00BA38	16	81.6	English	#00BA38
#00BA38	6	53.7	English	#00BA38
#00BA38	14	68.8	English	#00BA38
#00BA38	14	73.9	English	#00BA38
#00BA38	9	64.5	English	#00BA38
#00BA38	8	64	English	#00BA38
#00BA38	25	84.1	English	#00BA38
#00BFC4	17	78.4	History	#00BFC4
#00BFC4	10	66.5	History	#00BFC4
#00BFC4	8	62.3	History	#00BFC4
#00BFC4	14	68.2	History	#00BFC4
#00BFC4	22	84.5	History	#00BFC4
#00BFC4	17	80.2	History	#00BFC4
#00BFC4	18	69.8	History	#00BFC4
#00BFC4	17	67.3	History	#00BFC4
#00BFC4	6	53.7	History	#00BFC4
#00BFC4	10	60.4	History	#00BFC4
#00BFC4	4	50.2	History	#00BFC4
#00BFC4	11	63	History	#00BFC4
#00BFC4	9	65.3	History	#00BFC4
#00BFC4	12	63.6	History	#00BFC4
#00BFC4	9	46.9	History	#00BFC4
#00BFC4	15	61.4	History	#00BFC4
#00BFC4	12	55.5	History	#00BFC4
#00BFC4	15	69.7	History	#00BFC4
#00BFC4	6	54.2	History	#00BFC4
#00BFC4	6	41.7	History	#00BFC4
#00BFC4	13	71.1	History	#00BFC4
#00BFC4	14	69.2	History	#00BFC4
#00BFC4	14	77.4	History	#00BFC4
#00BFC4	11	59.5	History	#00BFC4
#00BFC4	12	82.3	History	#00BFC4
#00BFC4	8	48.7	History	#00BFC4
#00BFC4	7	58.7	History	#00BFC4
#00BFC4	21	75.3	History	#00BFC4
#00BFC4	4	34.7	History	#00BFC4
#00BFC4	9	62.1	History	#00BFC4
#00BFC4	6	51	History	#00BFC4
#00BFC4	16	58.6	History	#00BFC4
#00BFC4	13	66.6	History	#00BFC4
#00BFC4	16	74.7	History	#00BFC4
#00BFC4	13	65.7	History	#00BFC4
#00BFC4	3	61.3	History	#00BFC4
#00BFC4	17	75.2	History	#00BFC4
#00BFC4	9	49.7	History	#00BFC4
#00BFC4	14	59.3	History	#00BFC4
#00BFC4	19	71.5	History	#00BFC4
#00BFC4	6	53	History	#00BFC4
#00BFC4	11	57	History	#00BFC4
#00BFC4	20	71.6	History	#00BFC4
#00BFC4	16	84.9	History	#00BFC4
#00BFC4	5	56.7	History	#00BFC4
#00BFC4	14	73.9	History	#00BFC4
#00BFC4	12	62.5	History	#00BFC4
#00BFC4	6	74.1	History	#00BFC4
#00BFC4	12	65.7	History	#00BFC4
#00BFC4	18	90.9	History	#00BFC4
#619CFF	15	66.8	Mathematics	#619CFF
#619CFF	9	67.7	Mathematics	#619CFF
#619CFF	13	61.5	Mathematics	#619CFF
#619CFF	11	53.1	Mathematics	#619CFF
#619CFF	9	60.4	Mathematics	#619CFF
#619CFF	15	69.4	Mathematics	#619CFF
#619CFF	14	68	Mathematics	#619CFF
#619CFF	10	61.8	Mathematics	#619CFF
#619CFF	3	52.6	Mathematics	#619CFF
#619CFF	8	42.3	Mathematics	#619CFF
#619CFF	4	41.1	Mathematics	#619CFF
#619CFF	13	66.4	Mathematics	#619CFF
#619CFF	14	63.6	Mathematics	#619CFF
#619CFF	5	58.7	Mathematics	#619CFF
#619CFF	2	35.6	Mathematics	#619CFF
#619CFF	9	54.9	Mathematics	#619CFF
#619CFF	3	50.6	Mathematics	#619CFF
#619CFF	11	64.1	Mathematics	#619CFF
#619CFF	2	45.9	Mathematics	#619CFF
#619CFF	2	35.3	Mathematics	#619CFF
#619CFF	21	79.1	Mathematics	#619CFF
#619CFF	10	60	Mathematics	#619CFF
#619CFF	11	67.4	Mathematics	#619CFF
#619CFF	9	56.1	Mathematics	#619CFF
#619CFF	10	63.2	Mathematics	#619CFF
#619CFF	10	42.9	Mathematics	#619CFF
#619CFF	2	56.8	Mathematics	#619CFF
#619CFF	12	63.5	Mathematics	#619CFF
#619CFF	2	50.1	Mathematics	#619CFF
#619CFF	10	53.7	Mathematics	#619CFF
#619CFF	7	45.5	Mathematics	#619CFF
#619CFF	10	54.5	Mathematics	#619CFF
#619CFF	12	55.3	Mathematics	#619CFF
#619CFF	12	71.2	Mathematics	#619CFF
#619CFF	3	61.6	Mathematics	#619CFF
#619CFF	7	64.8	Mathematics	#619CFF
#619CFF	13	54.3	Mathematics	#619CFF
#619CFF	6	58.2	Mathematics	#619CFF
#619CFF	10	52.6	Mathematics	#619CFF
#619CFF	8	69.3	Mathematics	#619CFF
#619CFF	7	50.3	Mathematics	#619CFF
#619CFF	13	62.7	Mathematics	#619CFF
#619CFF	11	68.4	Mathematics	#619CFF
#619CFF	9	73	Mathematics	#619CFF
#619CFF	8	54.1	Mathematics	#619CFF
#619CFF	8	63.1	Mathematics	#619CFF
#619CFF	11	60.2	Mathematics	#619CFF
#619CFF	10	64.9	Mathematics	#619CFF
#619CFF	6	58.6	Mathematics	#619CFF
#619CFF	15	77.5	Mathematics	#619CFF
#F564E3	17	80.8	Physics	#F564E3
#F564E3	15	69.6	Physics	#F564E3
#F564E3	15	60.9	Physics	#F564E3
#F564E3	11	54.7	Physics	#F564E3
#F564E3	15	77.4	Physics	#F564E3
#F564E3	13	63.6	Physics	#F564E3
#F564E3	13	67.6	Physics	#F564E3
#F564E3	7	59.2	Physics	#F564E3
#F564E3	6	50.4	Physics	#F564E3
#F564E3	3	53.3	Physics	#F564E3
#F564E3	2	51.3	Physics	#F564E3
#F564E3	15	66.1	Physics	#F564E3
#F564E3	21	73.4	Physics	#F564E3
#F564E3	12	67.6	Physics	#F564E3
#F564E3	2	32	Physics	#F564E3
#F564E3	14	59.9	Physics	#F564E3
#F564E3	7	46.3	Physics	#F564E3
#F564E3	9	61.5	Physics	#F564E3
#F564E3	4	37.1	Physics	#F564E3
#F564E3	2	43.9	Physics	#F564E3
#F564E3	17	63.8	Physics	#F564E3
#F564E3	10	72	Physics	#F564E3
#F564E3	9	70.9	Physics	#F564E3
#F564E3	7	56.7	Physics	#F564E3
#F564E3	11	69.2	Physics	#F564E3
#F564E3	2	44.1	Physics	#F564E3
#F564E3	10	67.1	Physics	#F564E3
#F564E3	13	60.9	Physics	#F564E3
#F564E3	2	44.5	Physics	#F564E3
#F564E3	13	67	Physics	#F564E3
#F564E3	9	57.1	Physics	#F564E3
#F564E3	9	65	Physics	#F564E3
#F564E3	13	60.9	Physics	#F564E3
#F564E3	12	68.5	Physics	#F564E3
#F564E3	8	61	Physics	#F564E3
#F564E3	11	69.8	Physics	#F564E3
#F564E3	7	56.2	Physics	#F564E3
#F564E3	4	51.6	Physics	#F564E3
#F564E3	7	52.3	Physics	#F564E3
#F564E3	12	65.2	Physics	#F564E3
#F564E3	6	49.2	Physics	#F564E3
#F564E3	14	68.8	Physics	#F564E3
#F564E3	17	64.9	Physics	#F564E3
#F564E3	16	78.5	Physics	#F564E3
#F564E3	10	51.8	Physics	#F564E3
#F564E3	10	60.3	Physics	#F564E3
#F564E3	9	58.2	Physics	#F564E3
#F564E3	12	65.1	Physics	#F564E3
#F564E3	13	68.3	Physics	#F564E3
#F564E3	14	78.4	Physics	#F564E3
#B79F00	16	66.2	Chemistry	#B79F00
#B79F00	16	71.1	Chemistry	#B79F00
#B79F00	10	56.6	Chemistry	#B79F00
#B79F00	2	48.5	Chemistry	#B79F00
#B79F00	17	77.4	Chemistry	#B79F00
#B79F00	18	79.7	Chemistry	#B79F00
#B79F00	12	69.7	Chemistry	#B79F00
#B79F00	15	64.4	Chemistry	#B79F00
#B79F00	13	43.7	Chemistry	#B79F00
#B79F00	11	56.9	Chemistry	#B79F00
#B79F00	11	48.5	Chemistry	#B79F00
#B79F00	12	69.9	Chemistry	#B79F00
#B79F00	17	73	Chemistry	#B79F00
#B79F00	13	70.8	Chemistry	#B79F00
#B79F00	8	35.5	Chemistry	#B79F00
#B79F00	11	60.3	Chemistry	#B79F00
#B79F00	12	53.4	Chemistry	#B79F00
#B79F00	11	73	Chemistry	#B79F00
#B79F00	6	55.2	Chemistry	#B79F00
#B79F00	2	39	Chemistry	#B79F00
#B79F00	21	77.3	Chemistry	#B79F00
#B79F00	16	64.1	Chemistry	#B79F00
#B79F00	13	70.9	Chemistry	#B79F00
#B79F00	7	59.7	Chemistry	#B79F00
#B79F00	13	64.9	Chemistry	#B79F00
#B79F00	7	46.4	Chemistry	#B79F00
#B79F00	14	60.5	Chemistry	#B79F00
#B79F00	8	65.2	Chemistry	#B79F00
#B79F00	2	38.7	Chemistry	#B79F00
#B79F00	7	64.2	Chemistry	#B79F00
#B79F00	10	49.1	Chemistry	#B79F00
#B79F00	12	55.7	Chemistry	#B79F00
#B79F00	10	53.5	Chemistry	#B79F00
#B79F00	15	77	Chemistry	#B79F00
#B79F00	7	52.6	Chemistry	#B79F00
#B79F00	17	67.6	Chemistry	#B79F00
#B79F00	12	64.2	Chemistry	#B79F00
#B79F00	7	58.3	Chemistry	#B79F00
#B79F00	4	53.8	Chemistry	#B79F00
#B79F00	16	71.3	Chemistry	#B79F00
#B79F00	9	53.2	Chemistry	#B79F00
#B79F00	13	61.3	Chemistry	#B79F00
#B79F00	13	68.9	Chemistry	#B79F00
#B79F00	14	80.7	Chemistry	#B79F00
#B79F00	2	45.8	Chemistry	#B79F00
#B79F00	7	64	Chemistry	#B79F00
#B79F00	11	62.3	Chemistry	#B79F00
#B79F00	14	73.4	Chemistry	#B79F00
#B79F00	5	60.8	Chemistry	#B79F00
#B79F00	15	84.2	Chemistry	#B79F00
#F8766D	14	77.7	Biology	#F8766D
#F8766D	13	65	Biology	#F8766D
#F8766D	13	66.9	Biology	#F8766D
#F8766D	13	62	Biology	#F8766D
#F8766D	14	86.7	Biology	#F8766D
#F8766D	10	72.8	Biology	#F8766D
#F8766D	6	58.9	Biology	#F8766D
#F8766D	16	71.6	Biology	#F8766D
#F8766D	7	51.3	Biology	#F8766D
#F8766D	6	47.4	Biology	#F8766D
#F8766D	7	47.6	Biology	#F8766D
#F8766D	12	70.9	Biology	#F8766D
#F8766D	9	67.6	Biology	#F8766D
#F8766D	13	71.4	Biology	#F8766D
#F8766D	2	32.7	Biology	#F8766D
#F8766D	8	58.3	Biology	#F8766D
#F8766D	8	51.3	Biology	#F8766D
#F8766D	18	66.6	Biology	#F8766D
#F8766D	6	46.8	Biology	#F8766D
#F8766D	2	33.3	Biology	#F8766D
#F8766D	14	71.4	Biology	#F8766D
#F8766D	15	64.9	Biology	#F8766D
#F8766D	9	70.6	Biology	#F8766D
#F8766D	4	52.1	Biology	#F8766D
#F8766D	12	66.1	Biology	#F8766D
#F8766D	10	57	Biology	#F8766D
#F8766D	5	57.1	Biology	#F8766D
#F8766D	22	74.8	Biology	#F8766D
#F8766D	9	47.1	Biology	#F8766D
#F8766D	8	64.6	Biology	#F8766D
#F8766D	5	45.3	Biology	#F8766D
#F8766D	10	54.9	Biology	#F8766D
#F8766D	8	57.7	Biology	#F8766D
#F8766D	19	79.2	Biology	#F8766D
#F8766D	11	60.2	Biology	#F8766D
#F8766D	19	78	Biology	#F8766D
#F8766D	12	66.6	Biology	#F8766D
#F8766D	12	54.9	Biology	#F8766D
#F8766D	5	49.1	Biology	#F8766D
#F8766D	17	69.1	Biology	#F8766D
#F8766D	7	49.7	Biology	#F8766D
#F8766D	11	61.5	Biology	#F8766D
#F8766D	10	70.6	Biology	#F8766D
#F8766D	19	78.3	Biology	#F8766D
#F8766D	6	50.1	Biology	#F8766D
#F8766D	14	73.2	Biology	#F8766D
#F8766D	15	70.7	Biology	#F8766D
#F8766D	8	67.3	Biology	#F8766D
#F8766D	11	68.5	Biology	#F8766D
#F8766D	15	83.6	Biology	#F8766D
#00BA38	17	79.4	English	#00BA38
#00BA38	8	72.7	English	#00BA38
#00BA38	9	67.1	English	#00BA38
#00BA38	14	62.8	English	#00BA38
#00BA38	15	76.5	English	#00BA38
#00BA38	13	80.1	English	#00BA38
#00BA38	8	62.9	English	#00BA38
#00BA38	17	72.4	English	#00BA38
#00BA38	7	52.3	English	#00BA38
#00BA38	8	57.4	English	#00BA38
#00BA38	4	56	English	#00BA38
#00BA38	17	80.5	English	#00BA38
#00BA38	14	71.2	English	#00BA38
#00BA38	12	68.4	English	#00BA38
#00BA38	5	36.1	English	#00BA38
#00BA38	13	65.8	English	#00BA38
#00BA38	7	56.3	English	#00BA38
#00BA38	20	73.2	English	#00BA38
#00BA38	8	50.8	English	#00BA38
#00BA38	2	36.6	English	#00BA38
#00BA38	12	72.4	English	#00BA38
#00BA38	14	64.4	English	#00BA38
#00BA38	20	80.5	English	#00BA38
#00BA38	8	56.5	English	#00BA38
#00BA38	21	74.1	English	#00BA38
#00BA38	11	58.2	English	#00BA38
#00BA38	11	62	English	#00BA38
#00BA38	12	72	English	#00BA38
#00BA38	10	51.2	English	#00BA38
#00BA38	7	57.7	English	#00BA38
#00BA38	2	45.5	English	#00BA38
#00BA38	13	66.9	English	#00BA38
#00BA38	7	51.7	English	#00BA38
#00BA38	12	73.6	English	#00BA38
#00BA38	16	65	English	#00BA38
#00BA38	16	70.8	English	#00BA38
#00BA38	13	70.1	English	#00BA38
#00BA38	10	56.2	English	#00BA38
#00BA38	18	69.3	English	#00BA38
#00BA38	19	77.7	English	#00BA38
#00BA38	14	57.3	English	#00BA38
#00BA38	10	59.8	English	#00BA38
#00BA38	10	64.2	English	#00BA38
#00BA38	19	88.1	English	#00BA38
#00BA38	8	52.6	English	#00BA38
#00BA38	13	65.7	English	#00BA38
#00BA38	12	67.6	English	#00BA38
#00BA38	17	80.1	English	#00BA38
#00BA38	18	75	English	#00BA38
#00BA38	16	83.9	English	#00BA38
#00BFC4	6	63.9	History	#00BFC4
#00BFC4	16	78.1	History	#00BFC4
#00BFC4	14	68.9	History	#00BFC4
#00BFC4	9	65.5	History	#00BFC4
#00BFC4	14	79.7	History	#00BFC4
#00BFC4	17	75.7	History	#00BFC4
#00BFC4	12	71.8	History	#00BFC4
#00BFC4	9	55.2	History	#00BFC4
#00BFC4	4	54.3	History	#00BFC4
#00BFC4	5	53.3	History	#00BFC4
#00BFC4	7	44.1	History	#00BFC4
#00BFC4	18	77.7	History	#00BFC4
#00BFC4	12	72.1	History	#00BFC4
#00BFC4	18	77.9	History	#00BFC4
#00BFC4	6	36.7	History	#00BFC4
#00BFC4	11	61.2	History	#00BFC4
#00BFC4	7	62.1	History	#00BFC4
#00BFC4	12	82.9	History	#00BFC4
#00BFC4	11	51.2	History	#00BFC4
#00BFC4	2	47.6	History	#00BFC4
#00BFC4	17	82.5	History	#00BFC4
#00BFC4	7	64.8	History	#00BFC4
#00BFC4	16	75.7	History	#00BFC4
#00BFC4	7	61.2	History	#00BFC4
#00BFC4	14	70	History	#00BFC4
#00BFC4	6	56	History	#00BFC4
#00BFC4	10	64.4	History	#00BFC4
#00BFC4	16	68.1	History	#00BFC4
#00BFC4	9	45.6	History	#00BFC4
#00BFC4	11	65.1	History	#00BFC4
#00BFC4	8	45.7	History	#00BFC4
#00BFC4	6	58.7	History	#00BFC4
#00BFC4	6	53.5	History	#00BFC4
#00BFC4	20	77.4	History	#00BFC4
#00BFC4	9	58	History	#00BFC4
#00BFC4	14	77.1	History	#00BFC4
#00BFC4	16	64.8	History	#00BFC4
#00BFC4	13	65.6	History	#00BFC4
#00BFC4	14	62.2	History	#00BFC4
#00BFC4	13	78.3	History	#00BFC4
#00BFC4	12	54.4	History	#00BFC4
#00BFC4	8	64.4	History	#00BFC4
#00BFC4	12	75.5	History	#00BFC4
#00BFC4	20	90.5	History	#00BFC4
#00BFC4	6	56	History	#00BFC4
#00BFC4	10	61.8	History	#00BFC4
#00BFC4	19	65.6	History	#00BFC4
#00BFC4	13	83.7	History	#00BFC4
#00BFC4	9	70.9	History	#00BFC4
#00BFC4	18	76.2	History	#00BFC4
#619CFF	18	75.7	Mathematics	#619CFF
#619CFF	13	61.5	Mathematics	#619CFF
#619CFF	10	57.9	Mathematics	#619CFF
#619CFF	11	57.5	Mathematics	#619CFF
#619CFF	17	75.3	Mathematics	#619CFF
#619CFF	12	79.4	Mathematics	#619CFF
#619CFF	10	63.1	Mathematics	#619CFF
#619CFF	12	58.2	Mathematics	#619CFF
#619CFF	2	47.8	Mathematics	#619CFF
#619CFF	9	49.9	Mathematics	#619CFF
#619CFF	2	47.2	Mathematics	#619CFF
#619CFF	9	62.8	Mathematics	#619CFF
#619CFF	12	70.1	Mathematics	#619CFF
#619CFF	19	68.2	Mathematics	#619CFF
#619CFF	2	40	Mathematics	#619CFF
#619CFF	11	62.1	Mathematics	#619CFF
#619CFF	8	48.1	Mathematics	#619CFF
#619CFF	13	69.8	Mathematics	#619CFF
#619CFF	6	44.6	Mathematics	#619CFF
#619CFF	10	38.9	Mathematics	#619CFF
#619CFF	19	74.9	Mathematics	#619CFF
#619CFF	17	63.5	Mathematics	#619CFF
#619CFF	18	70.1	Mathematics	#619CFF
#619CFF	15	55.1	Mathematics	#619CFF
#619CFF	18	62.8	Mathematics	#619CFF
#619CFF	2	41.1	Mathematics	#619CFF
#619CFF	14	59.6	Mathematics	#619CFF
#619CFF	14	67.6	Mathematics	#619CFF
