group	clickSelects	colour	fill
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	Biology	#F8766D	#F8766D
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	English	#00BA38	#00BA38
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
1	History	#00BFC4	#00BFC4
