fill	key	clickSelects	showSelected1	xmin	xmax	ymin	ymax
#336A98	S028	S028	Sem6	292.4	372.416666666667	8.55	9.45
#356F9F	S028	S028	Sem7	372.416666666667	453.4	8.55	9.45
#3B7BAF	S028	S028	Sem8	453.4	536.6	8.55	9.45
#153049	S013	S013	Sem1	0	67.9833333333333	9.55	10.45
#1A3957	S013	S013	Sem2	67.9833333333333	138.133333333333	9.55	10.45
#1B3B58	S013	S013	Sem3	138.133333333333	208.583333333333	9.55	10.45
#22496B	S013	S013	Sem4	208.583333333333	281.95	9.55	10.45
#306591	S013	S013	Sem5	281.95	360.966666666667	9.55	10.45
#336B99	S013	S013	Sem6	360.966666666667	441.116666666667	9.55	10.45
#4691CC	S013	S013	Sem7	441.116666666667	528.383333333333	9.55	10.45
#4085BD	S013	S013	Sem8	528.383333333333	613.55	9.55	10.45
#142C45	S049	S049	Sem1	0	67.2333333333333	10.55	11.45
#275379	S049	S049	Sem3	67.2333333333333	142.633333333333	10.55	11.45
#2B5B84	S049	S049	Sem5	142.633333333333	219.666666666667	10.55	11.45
#346C9A	S049	S049	Sem6	219.666666666667	300.016666666667	10.55	11.45
#3C7EB2	S049	S049	Sem8	300.016666666667	383.716666666667	10.55	11.45
#234C6F	S007	S007	Sem4	0	73.9333333333333	11.55	12.45
#2E618C	S007	S007	Sem5	73.9333333333333	152.2	11.55	12.45
#29567D	S007	S007	Sem6	152.2	228.283333333333	11.55	12.45
#3977A9	S007	S007	Sem8	228.283333333333	310.666666666667	11.55	12.45
#193753	S023	S023	Sem1	0	69.6666666666667	12.55	13.45
#204567	S023	S023	Sem2	69.6666666666667	142.333333333333	12.55	13.45
#265277	S023	S023	Sem3	142.333333333333	217.483333333333	12.55	13.45
#265075	S023	S023	Sem4	217.483333333333	292.4	12.55	13.45
#3E81B6	S023	S023	Sem5	292.4	376.7	12.55	13.45
#4084BA	S023	S023	Sem6	376.7	461.566666666667	12.55	13.45
#3670A0	S023	S023	Sem7	461.566666666667	542.75	12.55	13.45
#3B7BAF	S023	S023	Sem8	542.75	626.016666666667	12.55	13.45
#22496C	S001	S001	Sem1	0	73.45	13.55	14.45
#204465	S001	S001	Sem2	73.45	145.916666666667	13.55	14.45
#275278	S001	S001	Sem3	145.916666666667	221.25	13.55	14.45
#2E608A	S001	S001	Sem4	221.25	299.25	13.55	14.45
#3977AA	S001	S001	Sem5	299.25	381.75	13.55	14.45
#2E618C	S001	S001	Sem6	381.75	460.016666666667	13.55	14.45
#4A9AD8	S001	S001	Sem7	460.016666666667	548.883333333333	13.55	14.45
#3F83B9	S001	S001	Sem8	548.883333333333	633.5	13.55	14.45
#214668	S005	S005	Sem1	0	72.8833333333333	14.55	15.45
#29587F	S005	S005	Sem2	72.8833333333333	149.233333333333	14.55	15.45
#29567D	S005	S005	Sem3	149.233333333333	225.333333333333	14.55	15.45
#2F628D	S005	S005	Sem4	225.333333333333	303.8	14.55	15.45
#356F9F	S005	S005	Sem5	303.8	384.766666666667	14.55	15.45
#336A98	S005	S005	Sem6	384.766666666667	464.716666666667	14.55	15.45
#438AC3	S005	S005	Sem7	464.716666666667	550.75	14.55	15.45
#3C7DB1	S005	S005	Sem8	550.75	634.3	14.55	15.45
#1C3C5A	S034	S034	Sem1	0	70.7166666666667	15.55	16.45
#254E72	S034	S034	Sem2	70.7166666666667	145.2	15.55	16.45
#356F9E	S034	S034	Sem3	145.2	226.1	15.55	16.45
#2D5E88	S034	S034	Sem4	226.1	303.766666666667	15.55	16.45
#2E618C	S034	S034	Sem5	303.766666666667	382	15.55	16.45
#4288C0	S034	S034	Sem6	382	467.65	15.55	16.45
#458FCA	S034	S034	Sem7	467.65	554.65	15.55	16.45
#4084BB	S034	S034	Sem8	554.65	639.6	15.55	16.45
#18344F	S006	S006	Sem1	0	69	16.55	17.45
#234A6C	S006	S006	Sem2	69	142.55	16.55	17.45
#316692	S006	S006	Sem3	142.55	221.683333333333	16.55	17.45
#2E608A	S006	S006	Sem4	221.683333333333	299.666666666667	16.55	17.45
#4186BD	S006	S006	Sem5	299.666666666667	384.883333333333	16.55	17.45
#3976A8	S006	S006	Sem6	384.883333333333	467.15	16.55	17.45
#3A79AC	S006	S006	Sem7	467.15	550.066666666667	16.55	17.45
#4EA1E1	S006	S006	Sem8	550.066666666667	640.2	16.55	17.45
#204464	S021	S021	Sem1	0	72.3166666666667	17.55	18.45
#254E72	S021	S021	Sem2	72.3166666666667	146.733333333333	17.55	18.45
#2D5E87	S021	S021	Sem3	146.733333333333	224.283333333333	17.55	18.45
#356F9E	S021	S021	Sem4	224.283333333333	305.216666666667	17.55	18.45
#356F9F	S021	S021	Sem5	305.216666666667	386.183333333333	17.55	18.45
#3F84BA	S021	S021	Sem6	386.183333333333	471	17.55	18.45
#4086BD	S021	S021	Sem7	471	556.183333333333	17.55	18.45
#448EC8	S021	S021	Sem8	556.183333333333	642.85	17.55	18.45
#3976A8	S050	S050	Sem1	0	82.2333333333333	18.55	19.45
#346D9C	S050	S050	Sem2	82.2333333333333	162.866666666667	18.55	19.45
#3C7EB2	S050	S050	Sem3	162.866666666667	246.566666666667	18.55	19.45
#4288C1	S050	S050	Sem4	246.566666666667	332.283333333333	18.55	19.45
#4B9CDA	S050	S050	Sem5	332.283333333333	421.5	18.55	19.45
#55B0F6	S050	S050	Sem6	421.5	514.333333333333	18.55	19.45
#52A9EC	S050	S050	Sem7	514.333333333333	605.95	18.55	19.45
#56B0F6	S050	S050	Sem8	605.95	698.816666666667	18.55	19.45
#3E82B7	S044	S044	Sem1	0	84.4333333333333	19.55	20.45
#3772A3	S044	S044	Sem2	84.4333333333333	165.95	19.55	20.45
#3A79AC	S044	S044	Sem3	165.95	248.866666666667	19.55	20.45
#4997D5	S044	S044	Sem4	248.866666666667	337.316666666667	19.55	20.45
#4B9BDA	S044	S044	Sem5	337.316666666667	426.433333333333	19.55	20.45
#56B1F7	S044	S044	Sem6	426.433333333333	519.45	19.55	20.45
#54AEF2	S044	S044	Sem7	519.45	611.866666666667	19.55	20.45
#55B0F6	S044	S044	Sem8	611.866666666667	704.7	19.55	20.45
