group	clickSelects	colour	fill	showSelected2
1	Chemistry	#B79F00	#B79F00	Chemistry
1	Chemistry	#B79F00	#B79F00	Chemistry
1	Chemistry	#B79F00	#B79F00	Chemistry
1	Chemistry	#B79F00	#B79F00	Chemistry
1	Chemistry	#B79F00	#B79F00	Chemistry
1	Chemistry	#B79F00	#B79F00	Chemistry
1	Chemistry	#B79F00	#B79F00	Chemistry
1	Chemistry	#B79F00	#B79F00	Chemistry
1	Chemistry	#B79F00	#B79F00	Chemistry
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	Biology	#F8766D	#F8766D	Biology
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	English	#00BA38	#00BA38	English
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
1	History	#00BFC4	#00BFC4	History
