group	colour	x	y	clickSelects	showSelected1
12	#F8766D	5	75.5	S012	Biology
12	#F8766D	6	79	S012	Biology
12	#F8766D	7	75.2	S012	Biology
12	#F8766D	8	74.3	S012	Biology
13	#F8766D	1	67.5	S013	Biology
13	#F8766D	2	67.6	S013	Biology
13	#F8766D	3	73	S013	Biology
13	#F8766D	4	73	S013	Biology
13	#F8766D	5	76.9	S013	Biology
13	#F8766D	6	84.7	S013	Biology
13	#F8766D	7	89.1	S013	Biology
13	#F8766D	8	89.7	S013	Biology
14	#F8766D	1	51.2	S014	Biology
14	#F8766D	2	71.4	S014	Biology
14	#F8766D	3	63.4	S014	Biology
14	#F8766D	4	75.9	S014	Biology
14	#F8766D	5	80.8	S014	Biology
14	#F8766D	6	77.1	S014	Biology
14	#F8766D	7	82.6	S014	Biology
14	#F8766D	8	75.4	S014	Biology
15	#F8766D	1	32.5	S015	Biology
15	#F8766D	2	32.7	S015	Biology
15	#F8766D	3	33.8	S015	Biology
15	#F8766D	4	33.3	S015	Biology
15	#F8766D	5	35.3	S015	Biology
15	#F8766D	6	39.7	S015	Biology
15	#F8766D	7	39.8	S015	Biology
15	#F8766D	8	38.8	S015	Biology
16	#F8766D	1	62.5	S016	Biology
16	#F8766D	2	58.3	S016	Biology
16	#F8766D	3	63.9	S016	Biology
16	#F8766D	4	60.8	S016	Biology
16	#F8766D	5	68.9	S016	Biology
16	#F8766D	6	68.1	S016	Biology
16	#F8766D	7	71.7	S016	Biology
16	#F8766D	8	65.9	S016	Biology
17	#F8766D	1	56.2	S017	Biology
17	#F8766D	2	51.3	S017	Biology
17	#F8766D	3	59.2	S017	Biology
17	#F8766D	4	56.4	S017	Biology
17	#F8766D	5	62.7	S017	Biology
17	#F8766D	6	58.6	S017	Biology
17	#F8766D	7	62.5	S017	Biology
17	#F8766D	8	67.5	S017	Biology
18	#F8766D	1	69.2	S018	Biology
18	#F8766D	2	66.6	S018	Biology
18	#F8766D	3	65.3	S018	Biology
18	#F8766D	4	80.2	S018	Biology
18	#F8766D	5	70.8	S018	Biology
18	#F8766D	6	70.7	S018	Biology
18	#F8766D	7	78.9	S018	Biology
18	#F8766D	8	81.3	S018	Biology
19	#F8766D	1	43	S019	Biology
19	#F8766D	2	46.8	S019	Biology
19	#F8766D	3	46.5	S019	Biology
19	#F8766D	4	49.8	S019	Biology
19	#F8766D	5	53.5	S019	Biology
19	#F8766D	6	51	S019	Biology
19	#F8766D	7	55.4	S019	Biology
19	#F8766D	8	67.7	S019	Biology
20	#F8766D	1	47.3	S020	Biology
20	#F8766D	2	33.3	S020	Biology
20	#F8766D	3	45.2	S020	Biology
20	#F8766D	4	47.5	S020	Biology
20	#F8766D	5	51.5	S020	Biology
20	#F8766D	6	56.3	S020	Biology
20	#F8766D	7	53.8	S020	Biology
20	#F8766D	8	54.6	S020	Biology
21	#F8766D	1	70.1	S021	Biology
21	#F8766D	2	71.4	S021	Biology
21	#F8766D	3	72.5	S021	Biology
21	#F8766D	4	80.5	S021	Biology
21	#F8766D	5	82.4	S021	Biology
21	#F8766D	6	87.2	S021	Biology
21	#F8766D	7	84.9	S021	Biology
21	#F8766D	8	88.7	S021	Biology
22	#F8766D	1	72.6	S022	Biology
22	#F8766D	2	64.9	S022	Biology
22	#F8766D	3	66.5	S022	Biology
22	#F8766D	4	70.6	S022	Biology
22	#F8766D	5	77.5	S022	Biology
22	#F8766D	6	78.1	S022	Biology
22	#F8766D	7	85.4	S022	Biology
22	#F8766D	8	80.7	S022	Biology
23	#F8766D	1	73.1	S023	Biology
23	#F8766D	2	70.6	S023	Biology
23	#F8766D	3	76	S023	Biology
23	#F8766D	4	78.2	S023	Biology
23	#F8766D	5	82.8	S023	Biology
23	#F8766D	6	82.7	S023	Biology
23	#F8766D	7	77.6	S023	Biology
23	#F8766D	8	79.5	S023	Biology
24	#F8766D	1	59.5	S024	Biology
24	#F8766D	2	52.1	S024	Biology
24	#F8766D	3	67	S024	Biology
24	#F8766D	4	65	S024	Biology
24	#F8766D	5	69.1	S024	Biology
24	#F8766D	6	64.9	S024	Biology
24	#F8766D	7	75	S024	Biology
24	#F8766D	8	71.2	S024	Biology
25	#F8766D	1	66.1	S025	Biology
25	#F8766D	2	66.1	S025	Biology
25	#F8766D	3	66.7	S025	Biology
25	#F8766D	4	79.7	S025	Biology
25	#F8766D	5	69.9	S025	Biology
25	#F8766D	6	76.4	S025	Biology
25	#F8766D	7	79.2	S025	Biology
25	#F8766D	8	75.2	S025	Biology
26	#F8766D	1	47.8	S026	Biology
26	#F8766D	2	57	S026	Biology
26	#F8766D	3	56.6	S026	Biology
26	#F8766D	4	55.7	S026	Biology
26	#F8766D	5	57.8	S026	Biology
26	#F8766D	6	53	S026	Biology
26	#F8766D	7	55.3	S026	Biology
26	#F8766D	8	58.1	S026	Biology
27	#F8766D	1	60.4	S027	Biology
27	#F8766D	2	57.1	S027	Biology
27	#F8766D	3	63.4	S027	Biology
27	#F8766D	4	71.5	S027	Biology
27	#F8766D	5	73.5	S027	Biology
27	#F8766D	6	79.7	S027	Biology
27	#F8766D	7	70.6	S027	Biology
27	#F8766D	8	77.7	S027	Biology
28	#F8766D	1	71.1	S028	Biology
28	#F8766D	2	74.8	S028	Biology
28	#F8766D	3	71.8	S028	Biology
28	#F8766D	4	70.2	S028	Biology
28	#F8766D	5	76.3	S028	Biology
28	#F8766D	6	81.5	S028	Biology
28	#F8766D	7	85.7	S028	Biology
28	#F8766D	8	80.5	S028	Biology
29	#F8766D	1	40.2	S029	Biology
29	#F8766D	2	47.1	S029	Biology
29	#F8766D	3	39.7	S029	Biology
29	#F8766D	4	54.7	S029	Biology
29	#F8766D	5	43.9	S029	Biology
29	#F8766D	6	58	S029	Biology
29	#F8766D	7	53.4	S029	Biology
29	#F8766D	8	53.2	S029	Biology
30	#F8766D	1	64	S030	Biology
30	#F8766D	2	64.6	S030	Biology
30	#F8766D	3	59.8	S030	Biology
30	#F8766D	4	64.7	S030	Biology
30	#F8766D	5	68.2	S030	Biology
30	#F8766D	6	70.9	S030	Biology
30	#F8766D	7	76.9	S030	Biology
30	#F8766D	8	82.7	S030	Biology
31	#F8766D	1	54.3	S031	Biology
31	#F8766D	2	45.3	S031	Biology
31	#F8766D	3	52.7	S031	Biology
31	#F8766D	4	55.1	S031	Biology
31	#F8766D	5	54.2	S031	Biology
31	#F8766D	6	60.2	S031	Biology
31	#F8766D	7	60.1	S031	Biology
31	#F8766D	8	57.6	S031	Biology
32	#F8766D	1	62.1	S032	Biology
32	#F8766D	2	54.9	S032	Biology
32	#F8766D	3	56.1	S032	Biology
32	#F8766D	4	63.6	S032	Biology
32	#F8766D	5	69.2	S032	Biology
32	#F8766D	6	68	S032	Biology
32	#F8766D	7	63.4	S032	Biology
32	#F8766D	8	60.8	S032	Biology
33	#F8766D	1	55.8	S033	Biology
33	#F8766D	2	57.7	S033	Biology
33	#F8766D	3	60.1	S033	Biology
33	#F8766D	4	64.1	S033	Biology
33	#F8766D	5	66	S033	Biology
33	#F8766D	6	70.8	S033	Biology
33	#F8766D	7	68.1	S033	Biology
33	#F8766D	8	75	S033	Biology
34	#F8766D	1	72.2	S034	Biology
34	#F8766D	2	79.2	S034	Biology
34	#F8766D	3	82.3	S034	Biology
34	#F8766D	4	85.4	S034	Biology
34	#F8766D	5	75.2	S034	Biology
34	#F8766D	6	90.3	S034	Biology
34	#F8766D	7	96.5	S034	Biology
34	#F8766D	8	86.6	S034	Biology
35	#F8766D	1	56.9	S035	Biology
35	#F8766D	2	60.2	S035	Biology
35	#F8766D	3	56.6	S035	Biology
35	#F8766D	4	59	S035	Biology
35	#F8766D	5	75.6	S035	Biology
35	#F8766D	6	67.5	S035	Biology
35	#F8766D	7	63.8	S035	Biology
35	#F8766D	8	68.1	S035	Biology
36	#F8766D	1	66.3	S036	Biology
36	#F8766D	2	78	S036	Biology
36	#F8766D	3	71.7	S036	Biology
36	#F8766D	4	78.3	S036	Biology
36	#F8766D	5	67.3	S036	Biology
36	#F8766D	6	69	S036	Biology
36	#F8766D	7	85.4	S036	Biology
36	#F8766D	8	76.5	S036	Biology
37	#F8766D	1	65.1	S037	Biology
37	#F8766D	2	66.6	S037	Biology
37	#F8766D	3	66.7	S037	Biology
37	#F8766D	4	70.7	S037	Biology
37	#F8766D	5	73.8	S037	Biology
37	#F8766D	6	75.9	S037	Biology
37	#F8766D	7	81.6	S037	Biology
37	#F8766D	8	81.5	S037	Biology
38	#F8766D	1	54.5	S038	Biology
38	#F8766D	2	54.9	S038	Biology
38	#F8766D	3	54.6	S038	Biology
38	#F8766D	4	59.8	S038	Biology
38	#F8766D	5	72	S038	Biology
38	#F8766D	6	64.6	S038	Biology
38	#F8766D	7	72.4	S038	Biology
38	#F8766D	8	71.6	S038	Biology
39	#F8766D	1	56.7	S039	Biology
39	#F8766D	2	49.1	S039	Biology
39	#F8766D	3	66.6	S039	Biology
39	#F8766D	4	65.2	S039	Biology
39	#F8766D	5	56.7	S039	Biology
39	#F8766D	6	64.5	S039	Biology
39	#F8766D	7	69.5	S039	Biology
39	#F8766D	8	76.4	S039	Biology
40	#F8766D	1	61.7	S040	Biology
40	#F8766D	2	69.1	S040	Biology
40	#F8766D	3	65.7	S040	Biology
40	#F8766D	4	71.5	S040	Biology
40	#F8766D	5	75.9	S040	Biology
40	#F8766D	6	76.5	S040	Biology
40	#F8766D	7	83.1	S040	Biology
40	#F8766D	8	82.2	S040	Biology
41	#F8766D	1	54.4	S041	Biology
41	#F8766D	2	49.7	S041	Biology
41	#F8766D	3	49.2	S041	Biology
41	#F8766D	4	56.8	S041	Biology
41	#F8766D	5	65.3	S041	Biology
41	#F8766D	6	59.8	S041	Biology
41	#F8766D	7	67.5	S041	Biology
41	#F8766D	8	72	S041	Biology
42	#F8766D	1	67.4	S042	Biology
42	#F8766D	2	61.5	S042	Biology
42	#F8766D	3	76.7	S042	Biology
42	#F8766D	4	62	S042	Biology
42	#F8766D	5	68.7	S042	Biology
42	#F8766D	6	73	S042	Biology
42	#F8766D	7	77.7	S042	Biology
42	#F8766D	8	86.9	S042	Biology
43	#F8766D	1	73.8	S043	Biology
43	#F8766D	2	70.6	S043	Biology
43	#F8766D	3	81.9	S043	Biology
43	#F8766D	4	74.6	S043	Biology
43	#F8766D	5	68.1	S043	Biology
43	#F8766D	6	80.8	S043	Biology
43	#F8766D	7	73.6	S043	Biology
43	#F8766D	8	89	S043	Biology
44	#F8766D	1	87.4	S044	Biology
44	#F8766D	2	78.3	S044	Biology
44	#F8766D	3	76.7	S044	Biology
44	#F8766D	4	97.5	S044	Biology
44	#F8766D	5	86.2	S044	Biology
44	#F8766D	6	91.9	S044	Biology
44	#F8766D	7	89.5	S044	Biology
44	#F8766D	8	93.3	S044	Biology
45	#F8766D	1	45.5	S045	Biology
45	#F8766D	2	50.1	S045	Biology
45	#F8766D	3	58.8	S045	Biology
45	#F8766D	4	48.1	S045	Biology
45	#F8766D	5	63	S045	Biology
45	#F8766D	6	61.4	S045	Biology
45	#F8766D	7	66.1	S045	Biology
45	#F8766D	8	53.8	S045	Biology
46	#F8766D	1	72.8	S046	Biology
46	#F8766D	2	73.2	S046	Biology
46	#F8766D	3	75.4	S046	Biology
46	#F8766D	4	62.8	S046	Biology
46	#F8766D	5	69.1	S046	Biology
46	#F8766D	6	73.9	S046	Biology
46	#F8766D	7	69.8	S046	Biology
46	#F8766D	8	74	S046	Biology
47	#F8766D	1	62.5	S047	Biology
47	#F8766D	2	70.7	S047	Biology
47	#F8766D	3	75	S047	Biology
47	#F8766D	4	78	S047	Biology
47	#F8766D	5	71.8	S047	Biology
47	#F8766D	6	69.4	S047	Biology
47	#F8766D	7	76.2	S047	Biology
47	#F8766D	8	91.4	S047	Biology
48	#F8766D	1	70	S048	Biology
48	#F8766D	2	67.3	S048	Biology
48	#F8766D	3	75.1	S048	Biology
48	#F8766D	4	76.4	S048	Biology
48	#F8766D	5	77.8	S048	Biology
48	#F8766D	6	78.4	S048	Biology
48	#F8766D	7	91	S048	Biology
48	#F8766D	8	83	S048	Biology
49	#F8766D	1	62.8	S049	Biology
49	#F8766D	2	68.5	S049	Biology
49	#F8766D	3	84.3	S049	Biology
49	#F8766D	4	67.1	S049	Biology
49	#F8766D	5	81.1	S049	Biology
49	#F8766D	6	81.9	S049	Biology
49	#F8766D	7	77.8	S049	Biology
49	#F8766D	8	87.4	S049	Biology
50	#F8766D	1	82.2	S050	Biology
50	#F8766D	2	83.6	S050	Biology
50	#F8766D	3	80.9	S050	Biology
50	#F8766D	4	88.5	S050	Biology
50	#F8766D	5	88.2	S050	Biology
50	#F8766D	6	98.8	S050	Biology
50	#F8766D	7	94.2	S050	Biology
50	#F8766D	8	86.9	S050	Biology
51	#B79F00	1	64.1	S001	Chemistry
51	#B79F00	2	66.2	S001	Chemistry
51	#B79F00	3	72.7	S001	Chemistry
51	#B79F00	4	78.8	S001	Chemistry
51	#B79F00	5	74.5	S001	Chemistry
51	#B79F00	6	77	S001	Chemistry
51	#B79F00	7	86.3	S001	Chemistry
51	#B79F00	8	87.1	S001	Chemistry
52	#B79F00	1	64.5	S002	Chemistry
52	#B79F00	2	71.1	S002	Chemistry
52	#B79F00	3	71.9	S002	Chemistry
52	#B79F00	4	72	S002	Chemistry
52	#B79F00	5	85.5	S002	Chemistry
52	#B79F00	6	70.1	S002	Chemistry
52	#B79F00	7	73.8	S002	Chemistry
52	#B79F00	8	87	S002	Chemistry
53	#B79F00	1	70.9	S003	Chemistry
53	#B79F00	2	56.6	S003	Chemistry
53	#B79F00	3	72.6	S003	Chemistry
53	#B79F00	4	64.6	S003	Chemistry
53	#B79F00	5	60.8	S003	Chemistry
53	#B79F00	6	69.1	S003	Chemistry
53	#B79F00	7	72.8	S003	Chemistry
53	#B79F00	8	73.6	S003	Chemistry
54	#B79F00	1	64.1	S004	Chemistry
54	#B79F00	2	48.5	S004	Chemistry
54	#B79F00	3	61.7	S004	Chemistry
54	#B79F00	4	62.5	S004	Chemistry
54	#B79F00	5	69.8	S004	Chemistry
54	#B79F00	6	69.6	S004	Chemistry
54	#B79F00	7	67.5	S004	Chemistry
54	#B79F00	8	77.2	S004	Chemistry
55	#B79F00	1	67.7	S005	Chemistry
55	#B79F00	2	77.4	S005	Chemistry
55	#B79F00	3	81.1	S005	Chemistry
55	#B79F00	4	88.9	S005	Chemistry
55	#B79F00	5	79.2	S005	Chemistry
55	#B79F00	6	82.1	S005	Chemistry
55	#B79F00	7	85.4	S005	Chemistry
55	#B79F00	8	80.9	S005	Chemistry
56	#B79F00	1	58.2	S006	Chemistry
56	#B79F00	2	79.7	S006	Chemistry
56	#B79F00	3	74.9	S006	Chemistry
56	#B79F00	4	77.3	S006	Chemistry
56	#B79F00	5	86.1	S006	Chemistry
56	#B79F00	6	86.3	S006	Chemistry
56	#B79F00	7	79.1	S006	Chemistry
56	#B79F00	8	86.3	S006	Chemistry
57	#B79F00	1	67	S007	Chemistry
57	#B79F00	2	69.7	S007	Chemistry
57	#B79F00	3	68.9	S007	Chemistry
57	#B79F00	4	74.1	S007	Chemistry
57	#B79F00	5	83.7	S007	Chemistry
57	#B79F00	6	73.1	S007	Chemistry
57	#B79F00	7	64.7	S007	Chemistry
57	#B79F00	8	75.8	S007	Chemistry
58	#B79F00	1	57.2	S008	Chemistry
58	#B79F00	2	64.4	S008	Chemistry
58	#B79F00	3	63.5	S008	Chemistry
58	#B79F00	4	61.4	S008	Chemistry
58	#B79F00	5	73.2	S008	Chemistry
58	#B79F00	6	65.8	S008	Chemistry
58	#B79F00	7	69.2	S008	Chemistry
58	#B79F00	8	77.2	S008	Chemistry
59	#B79F00	1	44.2	S009	Chemistry
59	#B79F00	2	43.7	S009	Chemistry
59	#B79F00	3	45.8	S009	Chemistry
59	#B79F00	4	57.5	S009	Chemistry
59	#B79F00	5	52.7	S009	Chemistry
59	#B79F00	6	55.5	S009	Chemistry
59	#B79F00	7	65.2	S009	Chemistry
59	#B79F00	8	58.2	S009	Chemistry
60	#B79F00	1	50.2	S010	Chemistry
60	#B79F00	2	56.9	S010	Chemistry
60	#B79F00	3	64.6	S010	Chemistry
60	#B79F00	4	59.8	S010	Chemistry
60	#B79F00	5	57.6	S010	Chemistry
60	#B79F00	6	53.2	S010	Chemistry
60	#B79F00	7	51.4	S010	Chemistry
60	#B79F00	8	62.7	S010	Chemistry
61	#B79F00	1	52	S011	Chemistry
61	#B79F00	2	48.5	S011	Chemistry
61	#B79F00	3	42.3	S011	Chemistry
61	#B79F00	4	50.4	S011	Chemistry
61	#B79F00	5	47.7	S011	Chemistry
61	#B79F00	6	52.7	S011	Chemistry
61	#B79F00	7	54.5	S011	Chemistry
61	#B79F00	8	59.5	S011	Chemistry
62	#B79F00	1	64.7	S012	Chemistry
62	#B79F00	2	69.9	S012	Chemistry
62	#B79F00	3	67.9	S012	Chemistry
62	#B79F00	4	70.3	S012	Chemistry
62	#B79F00	5	65.8	S012	Chemistry
62	#B79F00	6	78.1	S012	Chemistry
62	#B79F00	7	78.6	S012	Chemistry
62	#B79F00	8	82.3	S012	Chemistry
63	#B79F00	1	68.3	S013	Chemistry
63	#B79F00	2	73	S013	Chemistry
63	#B79F00	3	63.2	S013	Chemistry
63	#B79F00	4	69.5	S013	Chemistry
63	#B79F00	5	86.5	S013	Chemistry
63	#B79F00	6	71.9	S013	Chemistry
63	#B79F00	7	81.3	S013	Chemistry
63	#B79F00	8	82.4	S013	Chemistry
64	#B79F00	1	70.7	S014	Chemistry
64	#B79F00	2	70.8	S014	Chemistry
64	#B79F00	3	65.9	S014	Chemistry
64	#B79F00	4	60	S014	Chemistry
64	#B79F00	5	73.1	S014	Chemistry
64	#B79F00	6	67.2	S014	Chemistry
64	#B79F00	7	69.1	S014	Chemistry
64	#B79F00	8	73.8	S014	Chemistry
65	#B79F00	1	37.3	S015	Chemistry
65	#B79F00	2	35.5	S015	Chemistry
65	#B79F00	3	33.3	S015	Chemistry
65	#B79F00	4	32.3	S015	Chemistry
65	#B79F00	5	36.7	S015	Chemistry
65	#B79F00	6	31.8	S015	Chemistry
65	#B79F00	7	33.5	S015	Chemistry
65	#B79F00	8	31.7	S015	Chemistry
66	#B79F00	1	55.4	S016	Chemistry
66	#B79F00	2	60.3	S016	Chemistry
66	#B79F00	3	58.5	S016	Chemistry
66	#B79F00	4	67.4	S016	Chemistry
66	#B79F00	5	63.9	S016	Chemistry
66	#B79F00	6	72	S016	Chemistry
66	#B79F00	7	67.9	S016	Chemistry
66	#B79F00	8	69.3	S016	Chemistry
67	#B79F00	1	51.4	S017	Chemistry
67	#B79F00	2	53.4	S017	Chemistry
67	#B79F00	3	52.9	S017	Chemistry
67	#B79F00	4	54.7	S017	Chemistry
67	#B79F00	5	60.4	S017	Chemistry
67	#B79F00	6	63.2	S017	Chemistry
67	#B79F00	7	68	S017	Chemistry
67	#B79F00	8	68	S017	Chemistry
68	#B79F00	1	55.9	S018	Chemistry
68	#B79F00	2	73	S018	Chemistry
68	#B79F00	3	69.9	S018	Chemistry
68	#B79F00	4	71.2	S018	Chemistry
68	#B79F00	5	72.4	S018	Chemistry
68	#B79F00	6	80.7	S018	Chemistry
68	#B79F00	7	78.1	S018	Chemistry
68	#B79F00	8	81.1	S018	Chemistry
69	#B79F00	1	50.1	S019	Chemistry
69	#B79F00	2	55.2	S019	Chemistry
69	#B79F00	3	33.4	S019	Chemistry
69	#B79F00	4	48.7	S019	Chemistry
69	#B79F00	5	45.5	S019	Chemistry
69	#B79F00	6	47.6	S019	Chemistry
69	#B79F00	7	52	S019	Chemistry
69	#B79F00	8	57.3	S019	Chemistry
70	#B79F00	1	50.9	S020	Chemistry
70	#B79F00	2	39	S020	Chemistry
70	#B79F00	3	42.5	S020	Chemistry
70	#B79F00	4	52.9	S020	Chemistry
70	#B79F00	5	43.6	S020	Chemistry
70	#B79F00	6	47.7	S020	Chemistry
70	#B79F00	7	52.6	S020	Chemistry
70	#B79F00	8	53.5	S020	Chemistry
71	#B79F00	1	69.6	S021	Chemistry
71	#B79F00	2	77.3	S021	Chemistry
71	#B79F00	3	73	S021	Chemistry
71	#B79F00	4	68.2	S021	Chemistry
71	#B79F00	5	78.7	S021	Chemistry
71	#B79F00	6	84	S021	Chemistry
71	#B79F00	7	85.2	S021	Chemistry
71	#B79F00	8	84.5	S021	Chemistry
72	#B79F00	1	67.8	S022	Chemistry
72	#B79F00	2	64.1	S022	Chemistry
72	#B79F00	3	70.9	S022	Chemistry
72	#B79F00	4	66.7	S022	Chemistry
72	#B79F00	5	67.1	S022	Chemistry
72	#B79F00	6	78.5	S022	Chemistry
72	#B79F00	7	73.3	S022	Chemistry
72	#B79F00	8	72.6	S022	Chemistry
73	#B79F00	1	68	S023	Chemistry
73	#B79F00	2	70.9	S023	Chemistry
73	#B79F00	3	72.4	S023	Chemistry
73	#B79F00	4	82.2	S023	Chemistry
73	#B79F00	5	86.7	S023	Chemistry
73	#B79F00	6	80.1	S023	Chemistry
73	#B79F00	7	81.8	S023	Chemistry
73	#B79F00	8	77.6	S023	Chemistry
74	#B79F00	1	58.9	S024	Chemistry
74	#B79F00	2	59.7	S024	Chemistry
74	#B79F00	3	61.8	S024	Chemistry
74	#B79F00	4	66.1	S024	Chemistry
74	#B79F00	5	60.3	S024	Chemistry
74	#B79F00	6	70.5	S024	Chemistry
74	#B79F00	7	70	S024	Chemistry
74	#B79F00	8	68.9	S024	Chemistry
75	#B79F00	1	66	S025	Chemistry
75	#B79F00	2	64.9	S025	Chemistry
75	#B79F00	3	66.2	S025	Chemistry
75	#B79F00	4	76.8	S025	Chemistry
75	#B79F00	5	68	S025	Chemistry
75	#B79F00	6	75.1	S025	Chemistry
75	#B79F00	7	76.7	S025	Chemistry
75	#B79F00	8	77.1	S025	Chemistry
76	#B79F00	1	50.3	S026	Chemistry
76	#B79F00	2	46.4	S026	Chemistry
76	#B79F00	3	52.9	S026	Chemistry
76	#B79F00	4	54.2	S026	Chemistry
76	#B79F00	5	50.7	S026	Chemistry
76	#B79F00	6	45.6	S026	Chemistry
76	#B79F00	7	54.8	S026	Chemistry
76	#B79F00	8	59.7	S026	Chemistry
77	#B79F00	1	65	S027	Chemistry
77	#B79F00	2	60.5	S027	Chemistry
77	#B79F00	3	56.9	S027	Chemistry
77	#B79F00	4	63.9	S027	Chemistry
77	#B79F00	5	66	S027	Chemistry
77	#B79F00	6	65.2	S027	Chemistry
77	#B79F00	7	76.9	S027	Chemistry
77	#B79F00	8	76	S027	Chemistry
78	#B79F00	1	67.7	S028	Chemistry
78	#B79F00	2	65.2	S028	Chemistry
78	#B79F00	3	65.4	S028	Chemistry
78	#B79F00	4	72.9	S028	Chemistry
78	#B79F00	5	70.1	S028	Chemistry
78	#B79F00	6	82.3	S028	Chemistry
78	#B79F00	7	77.1	S028	Chemistry
78	#B79F00	8	77.6	S028	Chemistry
79	#B79F00	1	43	S029	Chemistry
79	#B79F00	2	38.7	S029	Chemistry
79	#B79F00	3	46	S029	Chemistry
79	#B79F00	4	49.1	S029	Chemistry
79	#B79F00	5	46.8	S029	Chemistry
79	#B79F00	6	50.4	S029	Chemistry
79	#B79F00	7	56.6	S029	Chemistry
79	#B79F00	8	56.9	S029	Chemistry
80	#B79F00	1	57	S030	Chemistry
80	#B79F00	2	64.2	S030	Chemistry
80	#B79F00	3	66.4	S030	Chemistry
80	#B79F00	4	60.8	S030	Chemistry
80	#B79F00	5	66.6	S030	Chemistry
80	#B79F00	6	60.6	S030	Chemistry
80	#B79F00	7	75.1	S030	Chemistry
80	#B79F00	8	69.4	S030	Chemistry
81	#B79F00	1	49.1	S031	Chemistry
81	#B79F00	2	49.1	S031	Chemistry
81	#B79F00	3	50.3	S031	Chemistry
81	#B79F00	4	59.3	S031	Chemistry
81	#B79F00	5	49.4	S031	Chemistry
81	#B79F00	6	53.2	S031	Chemistry
81	#B79F00	7	59.7	S031	Chemistry
