x	y	label	key	showSelected1
1	60.4	60	S028 Physics Sem1	S028
1	35.6	36	S029 Physics Sem1	S029
1	60.5	60	S030 Physics Sem1	S030
1	39.8	40	S031 Physics Sem1	S031
1	56.4	56	S032 Physics Sem1	S032
1	50.7	51	S033 Physics Sem1	S033
1	71.2	71	S034 Physics Sem1	S034
1	62.5	62	S035 Physics Sem1	S035
1	58.7	59	S036 Physics Sem1	S036
1	56.4	56	S037 Physics Sem1	S037
1	56.7	57	S038 Physics Sem1	S038
1	54.9	55	S039 Physics Sem1	S039
1	61.8	62	S040 Physics Sem1	S040
1	53	53	S041 Physics Sem1	S041
1	52.7	53	S042 Physics Sem1	S042
1	60	60	S043 Physics Sem1	S043
1	87.4	87	S044 Physics Sem1	S044
1	51.4	51	S045 Physics Sem1	S045
1	64	64	S046 Physics Sem1	S046
1	71	71	S047 Physics Sem1	S047
1	66.4	66	S048 Physics Sem1	S048
1	69.8	70	S049 Physics Sem1	S049
1	83.7	84	S050 Physics Sem1	S050
1	64.1	64	S001 Chemistry Sem1	S001
1	64.5	64	S002 Chemistry Sem1	S002
1	70.9	71	S003 Chemistry Sem1	S003
1	64.1	64	S004 Chemistry Sem1	S004
1	67.7	68	S005 Chemistry Sem1	S005
1	58.2	58	S006 Chemistry Sem1	S006
1	67	67	S007 Chemistry Sem1	S007
1	57.2	57	S008 Chemistry Sem1	S008
1	44.2	44	S009 Chemistry Sem1	S009
1	50.2	50	S010 Chemistry Sem1	S010
1	52	52	S011 Chemistry Sem1	S011
1	64.7	65	S012 Chemistry Sem1	S012
1	68.3	68	S013 Chemistry Sem1	S013
1	70.7	71	S014 Chemistry Sem1	S014
1	37.3	37	S015 Chemistry Sem1	S015
1	55.4	55	S016 Chemistry Sem1	S016
1	51.4	51	S017 Chemistry Sem1	S017
1	55.9	56	S018 Chemistry Sem1	S018
1	50.1	50	S019 Chemistry Sem1	S019
1	50.9	51	S020 Chemistry Sem1	S020
1	69.6	70	S021 Chemistry Sem1	S021
1	67.8	68	S022 Chemistry Sem1	S022
1	68	68	S023 Chemistry Sem1	S023
1	58.9	59	S024 Chemistry Sem1	S024
1	66	66	S025 Chemistry Sem1	S025
1	50.3	50	S026 Chemistry Sem1	S026
1	65	65	S027 Chemistry Sem1	S027
1	67.7	68	S028 Chemistry Sem1	S028
1	43	43	S029 Chemistry Sem1	S029
1	57	57	S030 Chemistry Sem1	S030
1	49.1	49	S031 Chemistry Sem1	S031
1	58	58	S032 Chemistry Sem1	S032
1	58.3	58	S033 Chemistry Sem1	S033
1	68.7	69	S034 Chemistry Sem1	S034
1	53.1	53	S035 Chemistry Sem1	S035
1	67.7	68	S036 Chemistry Sem1	S036
1	68.4	68	S037 Chemistry Sem1	S037
1	53.3	53	S038 Chemistry Sem1	S038
1	50.9	51	S039 Chemistry Sem1	S039
1	66.7	67	S040 Chemistry Sem1	S040
1	48.3	48	S041 Chemistry Sem1	S041
1	54.7	55	S042 Chemistry Sem1	S042
1	67.7	68	S043 Chemistry Sem1	S043
1	85.1	85	S044 Chemistry Sem1	S044
1	54.5	54	S045 Chemistry Sem1	S045
1	64.2	64	S046 Chemistry Sem1	S046
1	69.6	70	S047 Chemistry Sem1	S047
1	69.1	69	S048 Chemistry Sem1	S048
1	77.9	78	S049 Chemistry Sem1	S049
1	70.3	70	S050 Chemistry Sem1	S050
1	71.8	72	S001 Biology Sem1	S001
1	69.1	69	S002 Biology Sem1	S002
1	57	57	S003 Biology Sem1	S003
1	60.9	61	S004 Biology Sem1	S004
1	78.7	79	S005 Biology Sem1	S005
1	69.9	70	S006 Biology Sem1	S006
1	63.6	64	S007 Biology Sem1	S007
1	61.5	62	S008 Biology Sem1	S008
1	54.2	54	S009 Biology Sem1	S009
1	52.9	53	S010 Biology Sem1	S010
1	41.8	42	S011 Biology Sem1	S011
1	69.5	70	S012 Biology Sem1	S012
1	67.5	68	S013 Biology Sem1	S013
1	51.2	51	S014 Biology Sem1	S014
1	32.5	32	S015 Biology Sem1	S015
1	62.5	62	S016 Biology Sem1	S016
1	56.2	56	S017 Biology Sem1	S017
1	69.2	69	S018 Biology Sem1	S018
1	43	43	S019 Biology Sem1	S019
1	47.3	47	S020 Biology Sem1	S020
1	70.1	70	S021 Biology Sem1	S021
1	72.6	73	S022 Biology Sem1	S022
1	73.1	73	S023 Biology Sem1	S023
1	59.5	60	S024 Biology Sem1	S024
1	66.1	66	S025 Biology Sem1	S025
1	47.8	48	S026 Biology Sem1	S026
1	60.4	60	S027 Biology Sem1	S027
1	71.1	71	S028 Biology Sem1	S028
1	40.2	40	S029 Biology Sem1	S029
1	64	64	S030 Biology Sem1	S030
1	54.3	54	S031 Biology Sem1	S031
1	62.1	62	S032 Biology Sem1	S032
1	55.8	56	S033 Biology Sem1	S033
1	72.2	72	S034 Biology Sem1	S034
1	56.9	57	S035 Biology Sem1	S035
1	66.3	66	S036 Biology Sem1	S036
1	65.1	65	S037 Biology Sem1	S037
1	54.5	54	S038 Biology Sem1	S038
1	56.7	57	S039 Biology Sem1	S039
1	61.7	62	S040 Biology Sem1	S040
1	54.4	54	S041 Biology Sem1	S041
1	67.4	67	S042 Biology Sem1	S042
1	73.8	74	S043 Biology Sem1	S043
1	87.4	87	S044 Biology Sem1	S044
1	45.5	46	S045 Biology Sem1	S045
1	72.8	73	S046 Biology Sem1	S046
1	62.5	62	S047 Biology Sem1	S047
1	70	70	S048 Biology Sem1	S048
1	62.8	63	S049 Biology Sem1	S049
1	82.2	82	S050 Biology Sem1	S050
1	82.5	82	S001 English Sem1	S001
1	69.5	70	S002 English Sem1	S002
1	68.1	68	S003 English Sem1	S003
1	60.5	60	S004 English Sem1	S004
1	76.9	77	S005 English Sem1	S005
1	69.1	69	S006 English Sem1	S006
1	70.1	70	S007 English Sem1	S007
1	61.9	62	S008 English Sem1	S008
1	54.5	54	S009 English Sem1	S009
1	47	47	S010 English Sem1	S010
1	46.1	46	S011 English Sem1	S011
1	67	67	S012 English Sem1	S012
1	75	75	S013 English Sem1	S013
1	63.1	63	S014 English Sem1	S014
1	38.1	38	S015 English Sem1	S015
1	65.6	66	S016 English Sem1	S016
1	52.4	52	S017 English Sem1	S017
1	72.2	72	S018 English Sem1	S018
1	50.6	51	S019 English Sem1	S019
1	48.5	48	S020 English Sem1	S020
1	79.9	80	S021 English Sem1	S021
1	66.3	66	S022 English Sem1	S022
1	67.7	68	S023 English Sem1	S023
1	57.8	58	S024 English Sem1	S024
1	70.8	71	S025 English Sem1	S025
1	48.7	49	S026 English Sem1	S026
1	59.7	60	S027 English Sem1	S027
1	62.9	63	S028 English Sem1	S028
1	38.8	39	S029 English Sem1	S029
1	62.3	62	S030 English Sem1	S030
1	52.9	53	S031 English Sem1	S031
1	61.9	62	S032 English Sem1	S032
1	65.8	66	S033 English Sem1	S033
1	77.2	77	S034 English Sem1	S034
1	62.1	62	S035 English Sem1	S035
1	65.9	66	S036 English Sem1	S036
1	63.5	64	S037 English Sem1	S037
1	59.4	59	S038 English Sem1	S038
1	63.8	64	S039 English Sem1	S039
1	80.9	81	S040 English Sem1	S040
1	51.8	52	S041 English Sem1	S041
1	68	68	S042 English Sem1	S042
1	77.2	77	S043 English Sem1	S043
1	81.6	82	S044 English Sem1	S044
1	53.7	54	S045 English Sem1	S045
1	68.8	69	S046 English Sem1	S046
1	73.9	74	S047 English Sem1	S047
1	64.5	64	S048 English Sem1	S048
1	64	64	S049 English Sem1	S049
1	84.1	84	S050 English Sem1	S050
1	78.4	78	S001 History Sem1	S001
1	66.5	66	S002 History Sem1	S002
1	62.3	62	S003 History Sem1	S003
1	68.2	68	S004 History Sem1	S004
1	84.5	84	S005 History Sem1	S005
1	80.2	80	S006 History Sem1	S006
1	69.8	70	S007 History Sem1	S007
1	67.3	67	S008 History Sem1	S008
1	53.7	54	S009 History Sem1	S009
1	60.4	60	S010 History Sem1	S010
1	50.2	50	S011 History Sem1	S011
1	63	63	S012 History Sem1	S012
1	65.3	65	S013 History Sem1	S013
1	63.6	64	S014 History Sem1	S014
1	46.9	47	S015 History Sem1	S015
1	61.4	61	S016 History Sem1	S016
1	55.5	56	S017 History Sem1	S017
1	69.7	70	S018 History Sem1	S018
1	54.2	54	S019 History Sem1	S019
1	41.7	42	S020 History Sem1	S020
1	71.1	71	S021 History Sem1	S021
1	69.2	69	S022 History Sem1	S022
1	77.4	77	S023 History Sem1	S023
1	59.5	60	S024 History Sem1	S024
1	82.3	82	S025 History Sem1	S025
1	48.7	49	S026 History Sem1	S026
1	58.7	59	S027 History Sem1	S027
1	75.3	75	S028 History Sem1	S028
1	34.7	35	S029 History Sem1	S029
1	62.1	62	S030 History Sem1	S030
1	51	51	S031 History Sem1	S031
1	58.6	59	S032 History Sem1	S032
1	66.6	67	S033 History Sem1	S033
1	74.7	75	S034 History Sem1	S034
1	65.7	66	S035 History Sem1	S035
1	61.3	61	S036 History Sem1	S036
1	75.2	75	S037 History Sem1	S037
1	49.7	50	S038 History Sem1	S038
1	59.3	59	S039 History Sem1	S039
1	71.5	72	S040 History Sem1	S040
1	53	53	S041 History Sem1	S041
1	57	57	S042 History Sem1	S042
1	71.6	72	S043 History Sem1	S043
1	84.9	85	S044 History Sem1	S044
1	56.7	57	S045 History Sem1	S045
1	73.9	74	S046 History Sem1	S046
1	62.5	62	S047 History Sem1	S047
1	74.1	74	S048 History Sem1	S048
1	65.7	66	S049 History Sem1	S049
1	90.9	91	S050 History Sem1	S050
2	66.8	67	S001 Mathematics Sem2	S001
2	67.7	68	S002 Mathematics Sem2	S002
2	61.5	62	S003 Mathematics Sem2	S003
2	53.1	53	S004 Mathematics Sem2	S004
2	60.4	60	S005 Mathematics Sem2	S005
2	69.4	69	S006 Mathematics Sem2	S006
2	68	68	S007 Mathematics Sem2	S007
2	61.8	62	S008 Mathematics Sem2	S008
2	52.6	53	S009 Mathematics Sem2	S009
2	42.3	42	S010 Mathematics Sem2	S010
2	41.1	41	S011 Mathematics Sem2	S011
2	66.4	66	S012 Mathematics Sem2	S012
2	63.6	64	S013 Mathematics Sem2	S013
2	58.7	59	S014 Mathematics Sem2	S014
2	35.6	36	S015 Mathematics Sem2	S015
2	54.9	55	S016 Mathematics Sem2	S016
2	50.6	51	S017 Mathematics Sem2	S017
2	64.1	64	S018 Mathematics Sem2	S018
2	45.9	46	S019 Mathematics Sem2	S019
2	35.3	35	S020 Mathematics Sem2	S020
2	79.1	79	S021 Mathematics Sem2	S021
2	60	60	S022 Mathematics Sem2	S022
2	67.4	67	S023 Mathematics Sem2	S023
2	56.1	56	S024 Mathematics Sem2	S024
2	63.2	63	S025 Mathematics Sem2	S025
2	42.9	43	S026 Mathematics Sem2	S026
2	56.8	57	S027 Mathematics Sem2	S027
2	63.5	64	S028 Mathematics Sem2	S028
2	50.1	50	S029 Mathematics Sem2	S029
2	53.7	54	S030 Mathematics Sem2	S030
2	45.5	46	S031 Mathematics Sem2	S031
2	54.5	54	S032 Mathematics Sem2	S032
2	55.3	55	S033 Mathematics Sem2	S033
2	71.2	71	S034 Mathematics Sem2	S034
2	61.6	62	S035 Mathematics Sem2	S035
2	64.8	65	S036 Mathematics Sem2	S036
2	54.3	54	S037 Mathematics Sem2	S037
2	58.2	58	S038 Mathematics Sem2	S038
2	52.6	53	S039 Mathematics Sem2	S039
2	69.3	69	S040 Mathematics Sem2	S040
2	50.3	50	S041 Mathematics Sem2	S041
2	62.7	63	S042 Mathematics Sem2	S042
2	68.4	68	S043 Mathematics Sem2	S043
2	73	73	S044 Mathematics Sem2	S044
2	54.1	54	S045 Mathematics Sem2	S045
2	63.1	63	S046 Mathematics Sem2	S046
2	60.2	60	S047 Mathematics Sem2	S047
2	64.9	65	S048 Mathematics Sem2	S048
2	58.6	59	S049 Mathematics Sem2	S049
2	77.5	78	S050 Mathematics Sem2	S050
2	80.8	81	S001 Physics Sem2	S001
2	69.6	70	S002 Physics Sem2	S002
2	60.9	61	S003 Physics Sem2	S003
2	54.7	55	S004 Physics Sem2	S004
2	77.4	77	S005 Physics Sem2	S005
2	63.6	64	S006 Physics Sem2	S006
2	67.6	68	S007 Physics Sem2	S007
2	59.2	59	S008 Physics Sem2	S008
2	50.4	50	S009 Physics Sem2	S009
2	53.3	53	S010 Physics Sem2	S010
2	51.3	51	S011 Physics Sem2	S011
2	66.1	66	S012 Physics Sem2	S012
2	73.4	73	S013 Physics Sem2	S013
2	67.6	68	S014 Physics Sem2	S014
2	32	32	S015 Physics Sem2	S015
2	59.9	60	S016 Physics Sem2	S016
2	46.3	46	S017 Physics Sem2	S017
2	61.5	62	S018 Physics Sem2	S018
2	37.1	37	S019 Physics Sem2	S019
2	43.9	44	S020 Physics Sem2	S020
2	63.8	64	S021 Physics Sem2	S021
2	72	72	S022 Physics Sem2	S022
2	70.9	71	S023 Physics Sem2	S023
2	56.7	57	S024 Physics Sem2	S024
2	69.2	69	S025 Physics Sem2	S025
2	44.1	44	S026 Physics Sem2	S026
2	67.1	67	S027 Physics Sem2	S027
2	60.9	61	S028 Physics Sem2	S028
2	44.5	44	S029 Physics Sem2	S029
2	67	67	S030 Physics Sem2	S030
2	57.1	57	S031 Physics Sem2	S031
2	65	65	S032 Physics Sem2	S032
2	60.9	61	S033 Physics Sem2	S033
2	68.5	68	S034 Physics Sem2	S034
2	61	61	S035 Physics Sem2	S035
2	69.8	70	S036 Physics Sem2	S036
2	56.2	56	S037 Physics Sem2	S037
2	51.6	52	S038 Physics Sem2	S038
2	52.3	52	S039 Physics Sem2	S039
2	65.2	65	S040 Physics Sem2	S040
2	49.2	49	S041 Physics Sem2	S041
2	68.8	69	S042 Physics Sem2	S042
2	64.9	65	S043 Physics Sem2	S043
2	78.5	78	S044 Physics Sem2	S044
2	51.8	52	S045 Physics Sem2	S045
2	60.3	60	S046 Physics Sem2	S046
2	58.2	58	S047 Physics Sem2	S047
2	65.1	65	S048 Physics Sem2	S048
2	68.3	68	S049 Physics Sem2	S049
2	78.4	78	S050 Physics Sem2	S050
2	66.2	66	S001 Chemistry Sem2	S001
2	71.1	71	S002 Chemistry Sem2	S002
2	56.6	57	S003 Chemistry Sem2	S003
2	48.5	48	S004 Chemistry Sem2	S004
2	77.4	77	S005 Chemistry Sem2	S005
2	79.7	80	S006 Chemistry Sem2	S006
2	69.7	70	S007 Chemistry Sem2	S007
2	64.4	64	S008 Chemistry Sem2	S008
2	43.7	44	S009 Chemistry Sem2	S009
2	56.9	57	S010 Chemistry Sem2	S010
2	48.5	48	S011 Chemistry Sem2	S011
2	69.9	70	S012 Chemistry Sem2	S012
2	73	73	S013 Chemistry Sem2	S013
2	70.8	71	S014 Chemistry Sem2	S014
2	35.5	36	S015 Chemistry Sem2	S015
2	60.3	60	S016 Chemistry Sem2	S016
2	53.4	53	S017 Chemistry Sem2	S017
2	73	73	S018 Chemistry Sem2	S018
2	55.2	55	S019 Chemistry Sem2	S019
2	39	39	S020 Chemistry Sem2	S020
2	77.3	77	S021 Chemistry Sem2	S021
2	64.1	64	S022 Chemistry Sem2	S022
2	70.9	71	S023 Chemistry Sem2	S023
2	59.7	60	S024 Chemistry Sem2	S024
2	64.9	65	S025 Chemistry Sem2	S025
2	46.4	46	S026 Chemistry Sem2	S026
2	60.5	60	S027 Chemistry Sem2	S027
2	65.2	65	S028 Chemistry Sem2	S028
2	38.7	39	S029 Chemistry Sem2	S029
2	64.2	64	S030 Chemistry Sem2	S030
2	49.1	49	S031 Chemistry Sem2	S031
2	55.7	56	S032 Chemistry Sem2	S032
2	53.5	54	S033 Chemistry Sem2	S033
2	77	77	S034 Chemistry Sem2	S034
2	52.6	53	S035 Chemistry Sem2	S035
2	67.6	68	S036 Chemistry Sem2	S036
2	64.2	64	S037 Chemistry Sem2	S037
2	58.3	58	S038 Chemistry Sem2	S038
2	53.8	54	S039 Chemistry Sem2	S039
2	71.3	71	S040 Chemistry Sem2	S040
2	53.2	53	S041 Chemistry Sem2	S041
2	61.3	61	S042 Chemistry Sem2	S042
2	68.9	69	S043 Chemistry Sem2	S043
2	80.7	81	S044 Chemistry Sem2	S044
2	45.8	46	S045 Chemistry Sem2	S045
2	64	64	S046 Chemistry Sem2	S046
2	62.3	62	S047 Chemistry Sem2	S047
2	73.4	73	S048 Chemistry Sem2	S048
2	60.8	61	S049 Chemistry Sem2	S049
2	84.2	84	S050 Chemistry Sem2	S050
2	77.7	78	S001 Biology Sem2	S001
2	65	65	S002 Biology Sem2	S002
2	66.9	67	S003 Biology Sem2	S003
2	62	62	S004 Biology Sem2	S004
2	86.7	87	S005 Biology Sem2	S005
2	72.8	73	S006 Biology Sem2	S006
2	58.9	59	S007 Biology Sem2	S007
2	71.6	72	S008 Biology Sem2	S008
2	51.3	51	S009 Biology Sem2	S009
2	47.4	47	S010 Biology Sem2	S010
2	47.6	48	S011 Biology Sem2	S011
2	70.9	71	S012 Biology Sem2	S012
2	67.6	68	S013 Biology Sem2	S013
2	71.4	71	S014 Biology Sem2	S014
2	32.7	33	S015 Biology Sem2	S015
2	58.3	58	S016 Biology Sem2	S016
2	51.3	51	S017 Biology Sem2	S017
2	66.6	67	S018 Biology Sem2	S018
2	46.8	47	S019 Biology Sem2	S019
2	33.3	33	S020 Biology Sem2	S020
2	71.4	71	S021 Biology Sem2	S021
2	64.9	65	S022 Biology Sem2	S022
2	70.6	71	S023 Biology Sem2	S023
2	52.1	52	S024 Biology Sem2	S024
2	66.1	66	S025 Biology Sem2	S025
2	57	57	S026 Biology Sem2	S026
2	57.1	57	S027 Biology Sem2	S027
2	74.8	75	S028 Biology Sem2	S028
2	47.1	47	S029 Biology Sem2	S029
2	64.6	65	S030 Biology Sem2	S030
2	45.3	45	S031 Biology Sem2	S031
2	54.9	55	S032 Biology Sem2	S032
2	57.7	58	S033 Biology Sem2	S033
2	79.2	79	S034 Biology Sem2	S034
2	60.2	60	S035 Biology Sem2	S035
2	78	78	S036 Biology Sem2	S036
2	66.6	67	S037 Biology Sem2	S037
2	54.9	55	S038 Biology Sem2	S038
2	49.1	49	S039 Biology Sem2	S039
2	69.1	69	S040 Biology Sem2	S040
2	49.7	50	S041 Biology Sem2	S041
2	61.5	62	S042 Biology Sem2	S042
2	70.6	71	S043 Biology Sem2	S043
2	78.3	78	S044 Biology Sem2	S044
2	50.1	50	S045 Biology Sem2	S045
2	73.2	73	S046 Biology Sem2	S046
2	70.7	71	S047 Biology Sem2	S047
2	67.3	67	S048 Biology Sem2	S048
2	68.5	68	S049 Biology Sem2	S049
2	83.6	84	S050 Biology Sem2	S050
2	79.4	79	S001 English Sem2	S001
2	72.7	73	S002 English Sem2	S002
2	67.1	67	S003 English Sem2	S003
2	62.8	63	S004 English Sem2	S004
2	76.5	76	S005 English Sem2	S005
2	80.1	80	S006 English Sem2	S006
2	62.9	63	S007 English Sem2	S007
2	72.4	72	S008 English Sem2	S008
2	52.3	52	S009 English Sem2	S009
2	57.4	57	S010 English Sem2	S010
2	56	56	S011 English Sem2	S011
2	80.5	80	S012 English Sem2	S012
2	71.2	71	S013 English Sem2	S013
2	68.4	68	S014 English Sem2	S014
2	36.1	36	S015 English Sem2	S015
2	65.8	66	S016 English Sem2	S016
2	56.3	56	S017 English Sem2	S017
2	73.2	73	S018 English Sem2	S018
2	50.8	51	S019 English Sem2	S019
2	36.6	37	S020 English Sem2	S020
2	72.4	72	S021 English Sem2	S021
2	64.4	64	S022 English Sem2	S022
2	80.5	80	S023 English Sem2	S023
2	56.5	56	S024 English Sem2	S024
2	74.1	74	S025 English Sem2	S025
2	58.2	58	S026 English Sem2	S026
2	62	62	S027 English Sem2	S027
2	72	72	S028 English Sem2	S028
2	51.2	51	S029 English Sem2	S029
2	57.7	58	S030 English Sem2	S030
2	45.5	46	S031 English Sem2	S031
2	66.9	67	S032 English Sem2	S032
2	51.7	52	S033 English Sem2	S033
2	73.6	74	S034 English Sem2	S034
2	65	65	S035 English Sem2	S035
2	70.8	71	S036 English Sem2	S036
2	70.1	70	S037 English Sem2	S037
2	56.2	56	S038 English Sem2	S038
2	69.3	69	S039 English Sem2	S039
2	77.7	78	S040 English Sem2	S040
2	57.3	57	S041 English Sem2	S041
2	59.8	60	S042 English Sem2	S042
2	64.2	64	S043 English Sem2	S043
2	88.1	88	S044 English Sem2	S044
2	52.6	53	S045 English Sem2	S045
2	65.7	66	S046 English Sem2	S046
2	67.6	68	S047 English Sem2	S047
2	80.1	80	S048 English Sem2	S048
2	75	75	S049 English Sem2	S049
2	83.9	84	S050 English Sem2	S050
2	63.9	64	S001 History Sem2	S001
2	78.1	78	S002 History Sem2	S002
2	68.9	69	S003 History Sem2	S003
2	65.5	66	S004 History Sem2	S004
2	79.7	80	S005 History Sem2	S005
2	75.7	76	S006 History Sem2	S006
2	71.8	72	S007 History Sem2	S007
2	55.2	55	S008 History Sem2	S008
2	54.3	54	S009 History Sem2	S009
2	53.3	53	S010 History Sem2	S010
2	44.1	44	S011 History Sem2	S011
2	77.7	78	S012 History Sem2	S012
2	72.1	72	S013 History Sem2	S013
2	77.9	78	S014 History Sem2	S014
2	36.7	37	S015 History Sem2	S015
2	61.2	61	S016 History Sem2	S016
2	62.1	62	S017 History Sem2	S017
2	82.9	83	S018 History Sem2	S018
2	51.2	51	S019 History Sem2	S019
2	47.6	48	S020 History Sem2	S020
2	82.5	82	S021 History Sem2	S021
2	64.8	65	S022 History Sem2	S022
2	75.7	76	S023 History Sem2	S023
2	61.2	61	S024 History Sem2	S024
2	70	70	S025 History Sem2	S025
2	56	56	S026 History Sem2	S026
2	64.4	64	S027 History Sem2	S027
2	68.1	68	S028 History Sem2	S028
2	45.6	46	S029 History Sem2	S029
2	65.1	65	S030 History Sem2	S030
2	45.7	46	S031 History Sem2	S031
2	58.7	59	S032 History Sem2	S032
2	53.5	54	S033 History Sem2	S033
2	77.4	77	S034 History Sem2	S034
2	58	58	S035 History Sem2	S035
2	77.1	77	S036 History Sem2	S036
2	64.8	65	S037 History Sem2	S037
2	65.6	66	S038 History Sem2	S038
2	62.2	62	S039 History Sem2	S039
2	78.3	78	S040 History Sem2	S040
2	54.4	54	S041 History Sem2	S041
2	64.4	64	S042 History Sem2	S042
2	75.5	76	S043 History Sem2	S043
2	90.5	90	S044 History Sem2	S044
2	56	56	S045 History Sem2	S045
2	61.8	62	S046 History Sem2	S046
2	65.6	66	S047 History Sem2	S047
2	83.7	84	S048 History Sem2	S048
2	70.9	71	S049 History Sem2	S049
2	76.2	76	S050 History Sem2	S050
3	75.7	76	S001 Mathematics Sem3	S001
3	61.5	62	S002 Mathematics Sem3	S002
3	57.9	58	S003 Mathematics Sem3	S003
3	57.5	58	S004 Mathematics Sem3	S004
3	75.3	75	S005 Mathematics Sem3	S005
3	79.4	79	S006 Mathematics Sem3	S006
3	63.1	63	S007 Mathematics Sem3	S007
3	58.2	58	S008 Mathematics Sem3	S008
3	47.8	48	S009 Mathematics Sem3	S009
3	49.9	50	S010 Mathematics Sem3	S010
3	47.2	47	S011 Mathematics Sem3	S011
3	62.8	63	S012 Mathematics Sem3	S012
3	70.1	70	S013 Mathematics Sem3	S013
3	68.2	68	S014 Mathematics Sem3	S014
3	40	40	S015 Mathematics Sem3	S015
3	62.1	62	S016 Mathematics Sem3	S016
3	48.1	48	S017 Mathematics Sem3	S017
3	69.8	70	S018 Mathematics Sem3	S018
3	44.6	45	S019 Mathematics Sem3	S019
3	38.9	39	S020 Mathematics Sem3	S020
3	74.9	75	S021 Mathematics Sem3	S021
3	63.5	64	S022 Mathematics Sem3	S022
3	70.1	70	S023 Mathematics Sem3	S023
3	55.1	55	S024 Mathematics Sem3	S024
3	62.8	63	S025 Mathematics Sem3	S025
3	41.1	41	S026 Mathematics Sem3	S026
3	59.6	60	S027 Mathematics Sem3	S027
3	67.6	68	S028 Mathematics Sem3	S028
3	43.4	43	S029 Mathematics Sem3	S029
3	52.9	53	S030 Mathematics Sem3	S030
3	46	46	S031 Mathematics Sem3	S031
3	60.3	60	S032 Mathematics Sem3	S032
3	57.4	57	S033 Mathematics Sem3	S033
3	87.7	88	S034 Mathematics Sem3	S034
3	58.9	59	S035 Mathematics Sem3	S035
3	63.7	64	S036 Mathematics Sem3	S036
3	67.6	68	S037 Mathematics Sem3	S037
