fill	key	tooltip	clickSelects	showSelected1	ymin	ymax	xmin	xmax
#619CFF	Mathematics	"Subject: Mathematics
Semester: Sem1
Mean: 55.9%
Median: 56.1%
Range: 31.2-82.2%
Students: 50"	Mathematics	Sem1	0	55.882	4.55	5.45
#619CFF	Mathematics	"Subject: Mathematics
Semester: Sem2
Mean: 58.7%
Median: 60.1%
Range: 35.3-79.1%
Students: 50"	Mathematics	Sem2	55.882	114.536	4.55	5.45
#619CFF	Mathematics	"Subject: Mathematics
Semester: Sem3
Mean: 60.9%
Median: 60%
Range: 38.9-87.7%
Students: 50"	Mathematics	Sem3	114.536	175.4	4.55	5.45
#619CFF	Mathematics	"Subject: Mathematics
Semester: Sem4
Mean: 60.8%
Median: 62.6%
Range: 34.8-86.3%
Students: 50"	Mathematics	Sem4	175.4	236.19	4.55	5.45
#619CFF	Mathematics	"Subject: Mathematics
Semester: Sem5
Mean: 64.3%
Median: 66.1%
Range: 32.1-87.6%
Students: 50"	Mathematics	Sem5	236.19	300.446	4.55	5.45
#619CFF	Mathematics	"Subject: Mathematics
Semester: Sem6
Mean: 65.1%
Median: 67.2%
Range: 34.5-91.6%
Students: 50"	Mathematics	Sem6	300.446	365.594	4.55	5.45
#619CFF	Mathematics	"Subject: Mathematics
Semester: Sem7
Mean: 68.2%
Median: 69.6%
Range: 33.1-91%
Students: 50"	Mathematics	Sem7	365.594	433.842	4.55	5.45
#619CFF	Mathematics	"Subject: Mathematics
Semester: Sem8
Mean: 70%
Median: 71.7%
Range: 34.5-91.1%
Students: 50"	Mathematics	Sem8	433.842	503.844	4.55	5.45
#F564E3	Physics	"Subject: Physics
Semester: Sem1
Mean: 58.7%
Median: 60.2%
Range: 35.6-87.4%
Students: 50"	Physics	Sem1	0	58.66	5.55	6.45
#F564E3	Physics	"Subject: Physics
Semester: Sem2
Mean: 60.9%
Median: 61.2%
Range: 32-80.8%
Students: 50"	Physics	Sem2	58.66	119.538	5.55	6.45
#F564E3	Physics	"Subject: Physics
Semester: Sem3
Mean: 62.2%
Median: 63.5%
Range: 38.4-80.4%
Students: 50"	Physics	Sem3	119.538	181.73	5.55	6.45
#F564E3	Physics	"Subject: Physics
Semester: Sem4
Mean: 62.9%
Median: 65%
Range: 34.1-83%
Students: 50"	Physics	Sem4	181.73	244.65	5.55	6.45
#F564E3	Physics	"Subject: Physics
Semester: Sem5
Mean: 67.4%
Median: 70.1%
Range: 33.9-90.1%
Students: 50"	Physics	Sem5	244.65	312.074	5.55	6.45
#F564E3	Physics	"Subject: Physics
Semester: Sem6
Mean: 68.8%
Median: 68.9%
Range: 37.2-91.8%
Students: 50"	Physics	Sem6	312.074	380.826	5.55	6.45
#F564E3	Physics	"Subject: Physics
Semester: Sem7
Mean: 70.6%
Median: 70.6%
Range: 35.3-96.1%
Students: 50"	Physics	Sem7	380.826	451.462	5.55	6.45
#F564E3	Physics	"Subject: Physics
Semester: Sem8
Mean: 72.8%
Median: 73.6%
Range: 41.7-93.3%
Students: 50"	Physics	Sem8	451.462	524.212	5.55	6.45
