fill	key	tooltip	clickSelects	showSelected1	showSelected2	ymin	ymax	xmin	xmax
#619CFF	(70,80] Mathematics	"Attendance: (70,80]
Subject: Mathematics
Avg Grade: 65%
Students: 21"	Mathematics	Sem2	Mathematics	0	64.9809523809524	2.1875	2.20625
#F564E3	(70,80] Physics	"Attendance: (70,80]
Subject: Physics
Avg Grade: 66.3%
Students: 18"	Physics	Sem2	Physics	0	66.2888888888889	2.31875	2.3375
#B79F00	(70,80] Chemistry	"Attendance: (70,80]
Subject: Chemistry
Avg Grade: 66.2%
Students: 20"	Chemistry	Sem2	Chemistry	0	66.21	1.7	1.71875
#F8766D	(70,80] Biology	"Attendance: (70,80]
Subject: Biology
Avg Grade: 69.1%
Students: 27"	Biology	Sem2	Biology	0	69.1111111111111	1.5875	1.60625
#00BA38	(70,80] English	"Attendance: (70,80]
Subject: English
Avg Grade: 69.2%
Students: 26"	English	Sem2	English	0	69.1692307692308	1.86875	1.8875
#00BFC4	(70,80] History	"Attendance: (70,80]
Subject: History
Avg Grade: 69.4%
Students: 20"	History	Sem2	History	0	69.4	2.01875	2.0375
#619CFF	(70,80] Mathematics	"Attendance: (70,80]
Subject: Mathematics
Avg Grade: 66.2%
Students: 22"	Mathematics	Sem3	Mathematics	0	66.2045454545454	2.20625	2.225
#F564E3	(70,80] Physics	"Attendance: (70,80]
Subject: Physics
Avg Grade: 66.3%
Students: 26"	Physics	Sem3	Physics	0	66.3076923076923	2.3375	2.35625
#B79F00	(70,80] Chemistry	"Attendance: (70,80]
Subject: Chemistry
Avg Grade: 68.5%
Students: 22"	Chemistry	Sem3	Chemistry	0	68.4727272727273	1.7375	1.75625
#F8766D	(70,80] Biology	"Attendance: (70,80]
Subject: Biology
Avg Grade: 66.8%
Students: 18"	Biology	Sem3	Biology	0	66.8333333333333	1.55	1.56875
#00BA38	(70,80] English	"Attendance: (70,80]
Subject: English
Avg Grade: 70.8%
Students: 27"	English	Sem3	English	0	70.7703703703704	1.90625	1.925
#00BFC4	(70,80] History	"Attendance: (70,80]
Subject: History
Avg Grade: 69.7%
Students: 25"	History	Sem3	History	0	69.712	2.0375	2.05625
#619CFF	(70,80] Mathematics	"Attendance: (70,80]
Subject: Mathematics
Avg Grade: 63.7%
Students: 19"	Mathematics	Sem4	Mathematics	0	63.7105263157895	2.15	2.16875
#F564E3	(70,80] Physics	"Attendance: (70,80]
Subject: Physics
Avg Grade: 67.1%
Students: 20"	Physics	Sem4	Physics	0	67.085	2.35625	2.375
#B79F00	(70,80] Chemistry	"Attendance: (70,80]
Subject: Chemistry
Avg Grade: 70.3%
Students: 28"	Chemistry	Sem4	Chemistry	0	70.2535714285715	1.79375	1.8125
#F8766D	(70,80] Biology	"Attendance: (70,80]
Subject: Biology
Avg Grade: 69.8%
Students: 22"	Biology	Sem4	Biology	0	69.7772727272727	1.625	1.64375
#00BA38	(70,80] English	"Attendance: (70,80]
Subject: English
Avg Grade: 71.8%
Students: 29"	English	Sem4	English	0	71.8344827586207	1.925	1.94375
#00BFC4	(70,80] History	"Attendance: (70,80]
Subject: History
Avg Grade: 70.1%
Students: 21"	History	Sem4	History	0	70.1285714285714	2.05625	2.075
#619CFF	(70,80] Mathematics	"Attendance: (70,80]
Subject: Mathematics
Avg Grade: 67%
Students: 24"	Mathematics	Sem5	Mathematics	0	66.975	2.24375	2.2625
#F564E3	(70,80] Physics	"Attendance: (70,80]
Subject: Physics
Avg Grade: 71%
Students: 22"	Physics	Sem5	Physics	0	71.0363636363636	2.375	2.39375
#B79F00	(70,80] Chemistry	"Attendance: (70,80]
Subject: Chemistry
Avg Grade: 69.4%
Students: 27"	Chemistry	Sem5	Chemistry	0	69.4407407407407	1.75625	1.775
#F8766D	(70,80] Biology	"Attendance: (70,80]
Subject: Biology
Avg Grade: 69.4%
Students: 25"	Biology	Sem5	Biology	0	69.436	1.60625	1.625
#00BA38	(70,80] English	"Attendance: (70,80]
Subject: English
Avg Grade: 76.2%
Students: 25"	English	Sem5	English	0	76.236	1.9625	1.98125
#00BFC4	(70,80] History	"Attendance: (70,80]
Subject: History
Avg Grade: 72.8%
Students: 22"	History	Sem5	History	0	72.7545454545455	2.075	2.09375
#619CFF	(70,80] Mathematics	"Attendance: (70,80]
Subject: Mathematics
Avg Grade: 66.7%
Students: 25"	Mathematics	Sem6	Mathematics	0	66.688	2.225	2.24375
#F564E3	(70,80] Physics	"Attendance: (70,80]
Subject: Physics
Avg Grade: 71.9%
Students: 24"	Physics	Sem6	Physics	0	71.8708333333333	2.4125	2.43125
#B79F00	(70,80] Chemistry	"Attendance: (70,80]
Subject: Chemistry
Avg Grade: 70.1%
Students: 24"	Chemistry	Sem6	Chemistry	0	70.0625	1.775	1.79375
#F8766D	(70,80] Biology	"Attendance: (70,80]
Subject: Biology
Avg Grade: 71.6%
Students: 21"	Biology	Sem6	Biology	0	71.5714285714286	1.64375	1.6625
#00BA38	(70,80] English	"Attendance: (70,80]
Subject: English
Avg Grade: 70.3%
Students: 27"	English	Sem6	English	0	70.2851851851852	1.8875	1.90625
#00BFC4	(70,80] History	"Attendance: (70,80]
Subject: History
Avg Grade: 74.8%
Students: 29"	History	Sem6	History	0	74.8241379310345	2.1125	2.13125
#619CFF	(70,80] Mathematics	"Attendance: (70,80]
Subject: Mathematics
Avg Grade: 71.7%
Students: 29"	Mathematics	Sem7	Mathematics	0	71.7	2.28125	2.3
#F564E3	(70,80] Physics	"Attendance: (70,80]
Subject: Physics
Avg Grade: 71.1%
Students: 25"	Physics	Sem7	Physics	0	71.132	2.39375	2.4125
#B79F00	(70,80] Chemistry	"Attendance: (70,80]
Subject: Chemistry
Avg Grade: 71.6%
Students: 26"	Chemistry	Sem7	Chemistry	0	71.5615384615385	1.8125	1.83125
#F8766D	(70,80] Biology	"Attendance: (70,80]
Subject: Biology
Avg Grade: 71.9%
Students: 20"	Biology	Sem7	Biology	0	71.92	1.6625	1.68125
#00BA38	(70,80] English	"Attendance: (70,80]
Subject: English
Avg Grade: 74.1%
Students: 20"	English	Sem7	English	0	74.08	1.94375	1.9625
#00BFC4	(70,80] History	"Attendance: (70,80]
Subject: History
Avg Grade: 76.1%
Students: 30"	History	Sem7	History	0	76.1	2.13125	2.15
#619CFF	(70,80] Mathematics	"Attendance: (70,80]
Subject: Mathematics
Avg Grade: 70.4%
Students: 27"	Mathematics	Sem8	Mathematics	0	70.3777777777778	2.2625	2.28125
#F564E3	(70,80] Physics	"Attendance: (70,80]
Subject: Physics
Avg Grade: 72.8%
Students: 23"	Physics	Sem8	Physics	0	72.8347826086957	2.43125	2.45
#B79F00	(70,80] Chemistry	"Attendance: (70,80]
Subject: Chemistry
Avg Grade: 74.2%
Students: 24"	Chemistry	Sem8	Chemistry	0	74.1625	1.83125	1.85
#F8766D	(70,80] Biology	"Attendance: (70,80]
Subject: Biology
Avg Grade: 75.9%
Students: 22"	Biology	Sem8	Biology	0	75.9045454545455	1.68125	1.7
#00BA38	(70,80] English	"Attendance: (70,80]
Subject: English
Avg Grade: 76.6%
Students: 22"	English	Sem8	English	0	76.6090909090909	1.98125	2
#00BFC4	(70,80] History	"Attendance: (70,80]
Subject: History
Avg Grade: 74.8%
Students: 23"	History	Sem8	History	0	74.7652173913044	2.09375	2.1125
#619CFF	(80,90] Mathematics	"Attendance: (80,90]
Subject: Mathematics
Avg Grade: 73.1%
Students: 2"	Mathematics	Sem1	Mathematics	0	73.1	3.15	3.16875
#F564E3	(80,90] Physics	"Attendance: (80,90]
Subject: Physics
Avg Grade: 76.7%
Students: 4"	Physics	Sem1	Physics	0	76.65	3.35625	3.375
#B79F00	(80,90] Chemistry	"Attendance: (80,90]
Subject: Chemistry
Avg Grade: 81.5%
Students: 2"	Chemistry	Sem1	Chemistry	0	81.5	2.79375	2.8125
#F8766D	(80,90] Biology	"Attendance: (80,90]
Subject: Biology
Avg Grade: 76.4%
Students: 3"	Biology	Sem1	Biology	0	76.3666666666667	2.56875	2.5875
#00BA38	(80,90] English	"Attendance: (80,90]
Subject: English
Avg Grade: 79.8%
Students: 4"	English	Sem1	English	0	79.825	2.925	2.94375
#00BFC4	(80,90] History	"Attendance: (80,90]
Subject: History
Avg Grade: 80.2%
Students: 8"	History	Sem1	History	0	80.15	3.05625	3.075
#619CFF	(80,90] Mathematics	"Attendance: (80,90]
Subject: Mathematics
Avg Grade: 73.4%
Students: 2"	Mathematics	Sem2	Mathematics	0	73.4	3.16875	3.1875
#F564E3	(80,90] Physics	"Attendance: (80,90]
Subject: Physics
Avg Grade: 71.5%
Students: 6"	Physics	Sem2	Physics	0	71.4666666666667	3.3	3.31875
#B79F00	(80,90] Chemistry	"Attendance: (80,90]
Subject: Chemistry
Avg Grade: 74.4%
Students: 5"	Chemistry	Sem2	Chemistry	0	74.42	2.71875	2.7375
#F8766D	(80,90] Biology	"Attendance: (80,90]
Subject: Biology
Avg Grade: 69.1%
Students: 4"	Biology	Sem2	Biology	0	69.125	2.55	2.56875
#00BA38	(80,90] English	"Attendance: (80,90]
Subject: English
Avg Grade: 74.6%
Students: 6"	English	Sem2	English	0	74.5833333333333	2.85	2.86875
#00BFC4	(80,90] History	"Attendance: (80,90]
Subject: History
Avg Grade: 78.2%
Students: 9"	History	Sem2	History	0	78.2	3.01875	3.0375
#619CFF	(80,90] Mathematics	"Attendance: (80,90]
Subject: Mathematics
Avg Grade: 83.2%
Students: 3"	Mathematics	Sem3	Mathematics	0	83.1666666666667	3.28125	3.3
#F564E3	(80,90] Physics	"Attendance: (80,90]
Subject: Physics
Avg Grade: 74.7%
Students: 2"	Physics	Sem3	Physics	0	74.7	3.3375	3.35625
#B79F00	(80,90] Chemistry	"Attendance: (80,90]
Subject: Chemistry
Avg Grade: 71.9%
Students: 7"	Chemistry	Sem3	Chemistry	0	71.8714285714286	2.7	2.71875
#F8766D	(80,90] Biology	"Attendance: (80,90]
Subject: Biology
Avg Grade: 78.6%
Students: 8"	Biology	Sem3	Biology	0	78.5625	2.60625	2.625
#00BA38	(80,90] English	"Attendance: (80,90]
Subject: English
Avg Grade: 76.2%
Students: 10"	English	Sem3	English	0	76.16	2.86875	2.8875
#00BFC4	(80,90] History	"Attendance: (80,90]
Subject: History
Avg Grade: 79.7%
Students: 12"	History	Sem3	History	0	79.6833333333333	3.0375	3.05625
#619CFF	(80,90] Mathematics	"Attendance: (80,90]
Subject: Mathematics
Avg Grade: 75.2%
Students: 7"	Mathematics	Sem4	Mathematics	0	75.2428571428571	3.1875	3.20625
#F564E3	(80,90] Physics	"Attendance: (80,90]
Subject: Physics
Avg Grade: 73.5%
Students: 7"	Physics	Sem4	Physics	0	73.4571428571429	3.31875	3.3375
#B79F00	(80,90] Chemistry	"Attendance: (80,90]
Subject: Chemistry
Avg Grade: 81.1%
Students: 2"	Chemistry	Sem4	Chemistry	0	81.1	2.775	2.79375
#F8766D	(80,90] Biology	"Attendance: (80,90]
Subject: Biology
Avg Grade: 76.7%
Students: 11"	Biology	Sem4	Biology	0	76.6818181818182	2.5875	2.60625
#00BA38	(80,90] English	"Attendance: (80,90]
Subject: English
Avg Grade: 78.1%
Students: 9"	English	Sem4	English	0	78.0555555555556	2.8875	2.90625
#00BFC4	(80,90] History	"Attendance: (80,90]
Subject: History
Avg Grade: 76.4%
Students: 15"	History	Sem4	History	0	76.42	3	3.01875
#619CFF	(80,90] Mathematics	"Attendance: (80,90]
Subject: Mathematics
Avg Grade: 78.5%
Students: 7"	Mathematics	Sem5	Mathematics	0	78.5	3.225	3.24375
#F564E3	(80,90] Physics	"Attendance: (80,90]
Subject: Physics
Avg Grade: 78.6%
Students: 10"	Physics	Sem5	Physics	0	78.63	3.375	3.39375
#B79F00	(80,90] Chemistry	"Attendance: (80,90]
Subject: Chemistry
Avg Grade: 79.1%
Students: 10"	Chemistry	Sem5	Chemistry	0	79.13	2.7375	2.75625
#F8766D	(80,90] Biology	"Attendance: (80,90]
Subject: Biology
Avg Grade: 80.7%
Students: 10"	Biology	Sem5	Biology	0	80.67	2.625	2.64375
#00BA38	(80,90] English	"Attendance: (80,90]
Subject: English
Avg Grade: 78.5%
Students: 12"	English	Sem5	English	0	78.5166666666667	2.90625	2.925
#00BFC4	(80,90] History	"Attendance: (80,90]
Subject: History
Avg Grade: 83.1%
Students: 15"	History	Sem5	History	0	83.0933333333333	3.075	3.09375
#619CFF	(80,90] Mathematics	"Attendance: (80,90]
Subject: Mathematics
Avg Grade: 77.3%
Students: 8"	Mathematics	Sem6	Mathematics	0	77.2625	3.20625	3.225
#F564E3	(80,90] Physics	"Attendance: (80,90]
Subject: Physics
Avg Grade: 81.4%
Students: 11"	Physics	Sem6	Physics	0	81.4363636363636	3.4125	3.43125
#B79F00	(80,90] Chemistry	"Attendance: (80,90]
Subject: Chemistry
Avg Grade: 79.8%
Students: 12"	Chemistry	Sem6	Chemistry	0	79.85	2.75625	2.775
#F8766D	(80,90] Biology	"Attendance: (80,90]
Subject: Biology
Avg Grade: 82.1%
Students: 13"	Biology	Sem6	Biology	0	82.1230769230769	2.64375	2.6625
#00BA38	(80,90] English	"Attendance: (80,90]
Subject: English
Avg Grade: 81.3%
Students: 13"	English	Sem6	English	0	81.2538461538462	2.94375	2.9625
#00BFC4	(80,90] History	"Attendance: (80,90]
Subject: History
Avg Grade: 84.8%
Students: 12"	History	Sem6	History	0	84.8083333333334	3.09375	3.1125
#619CFF	(80,90] Mathematics	"Attendance: (80,90]
Subject: Mathematics
Avg Grade: 79.4%
Students: 6"	Mathematics	Sem7	Mathematics	0	79.3833333333333	3.2625	3.28125
#F564E3	(80,90] Physics	"Attendance: (80,90]
Subject: Physics
Avg Grade: 83%
Students: 11"	Physics	Sem7	Physics	0	82.9545454545455	3.43125	3.45
#B79F00	(80,90] Chemistry	"Attendance: (80,90]
Subject: Chemistry
Avg Grade: 82.1%
Students: 10"	Chemistry	Sem7	Chemistry	0	82.13	2.8125	2.83125
#F8766D	(80,90] Biology	"Attendance: (80,90]
Subject: Biology
Avg Grade: 82.6%
Students: 18"	Biology	Sem7	Biology	0	82.5611111111111	2.6625	2.68125
#00BA38	(80,90] English	"Attendance: (80,90]
Subject: English
Avg Grade: 85.9%
Students: 12"	English	Sem7	English	0	85.9166666666667	2.98125	3
#00BFC4	(80,90] History	"Attendance: (80,90]
Subject: History
Avg Grade: 85.1%
Students: 16"	History	Sem7	History	0	85.06875	3.13125	3.15
#619CFF	(80,90] Mathematics	"Attendance: (80,90]
Subject: Mathematics
Avg Grade: 79.1%
Students: 11"	Mathematics	Sem8	Mathematics	0	79.1363636363636	3.24375	3.2625
#F564E3	(80,90] Physics	"Attendance: (80,90]
Subject: Physics
Avg Grade: 80.1%
Students: 16"	Physics	Sem8	Physics	0	80.09375	3.39375	3.4125
#B79F00	(80,90] Chemistry	"Attendance: (80,90]
Subject: Chemistry
Avg Grade: 82.3%
Students: 11"	Chemistry	Sem8	Chemistry	0	82.3363636363636	2.83125	2.85
#F8766D	(80,90] Biology	"Attendance: (80,90]
Subject: Biology
Avg Grade: 82.6%
Students: 18"	Biology	Sem8	Biology	0	82.6111111111111	2.68125	2.7
#00BA38	(80,90] English	"Attendance: (80,90]
Subject: English
Avg Grade: 84.2%
Students: 18"	English	Sem8	English	0	84.1666666666667	2.9625	2.98125
#00BFC4	(80,90] History	"Attendance: (80,90]
Subject: History
Avg Grade: 84.8%
Students: 19"	History	Sem8	History	0	84.7947368421053	3.1125	3.13125
#00BA38	(90,100] English	"Attendance: (90,100]
Subject: English
Avg Grade: 84.1%
Students: 1"	English	Sem1	English	0	84.1	3.88157894736842	3.92894736842105
#B79F00	(90,100] Chemistry	"Attendance: (90,100]
Subject: Chemistry
Avg Grade: 80.7%
Students: 1"	Chemistry	Sem2	Chemistry	0	80.7	3.73947368421053	3.78684210526316
#619CFF	(90,100] Mathematics	"Attendance: (90,100]
Subject: Mathematics
Avg Grade: 86.3%
Students: 1"	Mathematics	Sem4	Mathematics	0	86.3	4.35526315789474	4.40263157894737
#B79F00	(90,100] Chemistry	"Attendance: (90,100]
Subject: Chemistry
Avg Grade: 88.9%
Students: 1"	Chemistry	Sem4	Chemistry	0	88.9	3.83421052631579	3.88157894736842
#F8766D	(90,100] Biology	"Attendance: (90,100]
Subject: Biology
Avg Grade: 97.5%
Students: 1"	Biology	Sem4	Biology	0	97.5	3.64473684210526	3.6921052631579
#00BFC4	(90,100] History	"Attendance: (90,100]
Subject: History
Avg Grade: 94.2%
Students: 1"	History	Sem4	History	0	94.2	4.07105263157895	4.11842105263158
#F8766D	(90,100] Biology	"Attendance: (90,100]
Subject: Biology
Avg Grade: 86.2%
Students: 1"	Biology	Sem5	Biology	0	86.2	3.55	3.59736842105263
#00BFC4	(90,100] History	"Attendance: (90,100]
Subject: History
Avg Grade: 95.5%
Students: 1"	History	Sem5	History	0	95.5	4.16578947368421	4.21315789473684
#619CFF	(90,100] Mathematics	"Attendance: (90,100]
Subject: Mathematics
Avg Grade: 77.4%
Students: 1"	Mathematics	Sem6	Mathematics	0	77.4	4.26052631578947	4.30789473684211
#F8766D	(90,100] Biology	"Attendance: (90,100]
Subject: Biology
Avg Grade: 98.8%
Students: 1"	Biology	Sem6	Biology	0	98.8	3.6921052631579	3.73947368421053
#00BA38	(90,100] English	"Attendance: (90,100]
Subject: English
Avg Grade: 89.8%
Students: 2"	English	Sem6	English	0	89.85	3.92894736842105	3.97631578947368
#00BFC4	(90,100] History	"Attendance: (90,100]
Subject: History
Avg Grade: 99.1%
Students: 1"	History	Sem6	History	0	99.1	4.21315789473684	4.26052631578947
#00BA38	(90,100] English	"Attendance: (90,100]
Subject: English
Avg Grade: 91.3%
Students: 5"	English	Sem7	English	0	91.3	4.02368421052632	4.07105263157895
#619CFF	(90,100] Mathematics	"Attendance: (90,100]
Subject: Mathematics
Avg Grade: 78%
Students: 1"	Mathematics	Sem8	Mathematics	0	78	4.30789473684211	4.35526315789474
#F564E3	(90,100] Physics	"Attendance: (90,100]
Subject: Physics
Avg Grade: 88.1%
Students: 1"	Physics	Sem8	Physics	0	88.1	4.40263157894737	4.45
#B79F00	(90,100] Chemistry	"Attendance: (90,100]
Subject: Chemistry
Avg Grade: 84.2%
Students: 3"	Chemistry	Sem8	Chemistry	0	84.2333333333333	3.78684210526316	3.83421052631579
#F8766D	(90,100] Biology	"Attendance: (90,100]
Subject: Biology
Avg Grade: 87.4%
Students: 1"	Biology	Sem8	Biology	0	87.4	3.59736842105263	3.64473684210526
